code,name,credits,description
71-494,MODERN ARCHITECTURE,4,"A survey of Euro-American architecture from c. 1750 through present 
day. Material considers the context of intellectual history, industrial and political revolutions, mass 
culture and technological innovation. It is also an introduction to issues of architectural theory and the 
history of the modern architectural profession. Contributes to International Studies. (Biennially) (FA) 
(WA)"
71-554,FEMINISM AND ART HISTORY,4,"This course draws on feminist theory and scholarship to analyze 
art, artists, and the discipline of art history itself. Concentrates on how gender identifications and 
ideologies are involved in the making, reception and criticism of art. Provides a feminist reflection on 
the making of the art historical canon, and on how images sustain or challenge gender relations. 
Incorporates an intersectional perspective, considering how relational constructions of gender, 
sexuality, race, ethnicity, disability, class, and nation affect visual representation and practice. 
Contributes to Feminist Studies. (Biennially) (FA) (WA) (SJ)"
71-614,SPECIAL TOPICS IN ART HISTORY,4,"Focuses on a particular theme, region, or period in art 
history. Includes an intensive approach to art historical research and writing. Subject changes from 
year to year. Can be repeated with change of topic. Prerequisite: any two courses in Art History. (Fall) 
(FA)"
71-824,CAPSTONE RESEARCH SEMINAR,4,"A research seminar in various topics of the students’ choosing 
with faculty approval. Open to majors only, except with permission of instructor. Must be taken in fall 
semester senior year. Prerequisite: Art History 71-0xx (71-024, -034, -044, OR -054), and four 
additional upper-level courses (71-200, -300, -400, -500) in Art History, and 71-614 Selected Topics 
in Art History. (Fall)"
71-984,HONORS,4,"At least eight credits of work over two semesters on a single independent in-depth 
research project chosen in consultation with a faculty advisor and with the approval of the art history 
faculty. Students work on their project during their capstone seminar, fall semester senior year, and 
continue with further research and writing spring semester senior year. The spring semester course 
will count as a university elective. A student may also opt to develop the honors project 
independently of the capstone seminar, in which case all eight credits must count as University 
electives. Continuation of the honors project in the second semester, and final granting of honors, is 
dependent upon approval by the faculty committee. If Honors are not awarded, the credits count as 
independent study (71-954).

Biology (BIO)"
50-251,INTEGRATIVE APPROACH TO HUMAN ANATOMY AND PHYSIOLOGY I,1,See Kinesiology
50-253,HUMAN ANATOMY AND PHYSIOLOGY I,3,"See Kinesiology 48-253.  This course is required for 
all students pursuing a BS in Kinesiology but may be taken by students seeking to fulfill general 
education requirements. Also Kinesiology 48-253. Contributes to Health Studies. This course must be 
taken concurrently with Biology 50-251. Prerequisites:  Kinesiology 48-123/121. (NS)"
50-261,INTEGRATIVE APPROACH TO HUMAN ANATOMY AND PHYSIOLOGY II,1,See Kinesiology
50-263,HUMAN ANATOMY AND PHYSIOLOGY II,3,"See Kinesiology 48-263. This course is required for 
students pursuing a BS degree in Kinesiology. It is not intended for students solely seeking to fulfill 
general education requirements. This is the second of a two-course sequence in the study of human 
anatomy and physiology. Contributes to Health Studies and Neuroscience. Also Kinesiology 48-263. 
Prerequisites: Kinesiology 48-253/251 or Biology 50-253/251. (NS)."
"50-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"50-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with change in topic.
"50-901, 902, 903, 904",TUTORIAL,4,"50-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Must be taken Pass/D/F. Prerequisite: Permission of instructor."
"50-951, 952, 953, 954",INDEPENDENT STUDY,4,"Prerequisite: Permission of the instructor and a completed course 
description report. May be repeated with changed content."
50-984,HONORS,4,By invitation only.
"50-991, 994",BIOLOGY CAPSTONE SEMINAR,4,"Topics vary by interest, but biology students will expand their 
knowledge of the scientific literature, write a research paper and present their work to their peers.  
Biology majors that have pursued at least three credits of total credit in Research in Biology (BIO50-
97X) will have the opportunity to complete their research paper and present their work in an 
integrated one credit hour version of the seminar. Biology majors that have not pursued three credits 
of total credit in Research in Biology (BIO50-97X) will take the four-hour version of the seminar. 
Accordingly, the Biology Capstone may involve group and/or individual research projects. The 
seminar will also provide time and preparation for all students to take the Biology Major Field Test 
(MFT). (Fall and Spring). Pre-requisite: Senior Standing. 
CHEMISTRY AND BIOCHEMISTRY DEPARTMENT 
Natural Sciences Area  
Shawn Amorde, PhD, Part-Time Assistant Professor 
Dilani Koswatta, Assistant Professor and Director of General Chemistry Laboratories 
Chelsea Massaro, PhD, Assistant Professor 
Sara Massey, PhD, Assistant Professor 
Emily D. Niemeyer, PhD, Professor 
Fathima Pary, PhD, Visiting Assistant Professor 
Carmen Velez, PhD, Assistant Professor and Director of Organic Chemistry Laboratories 
Maha Zewail-Foote, PhD, Professor 
A full listing of department chairs is available on the Registrar's web page. 
The Chemistry and Biochemistry Department seeks to provide a variety of educational experiences for students who desire a 
better understanding of the chemical, physical and biological world around them. The department offers courses ranging from 
Chemistry Appreciation for the non-science major to advanced studies in biochemistry, physical chemistry, organic, inorganic 
and analytical chemistry. Courses are offered in a flexible program designed to provide a strong understanding and knowledge of 
chemistry for a wide variety of students. Research opportunities are also available for students interested in working directly with 
faculty in an intensive laboratory experience."
"51-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"51-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with change in topic.
"51-901, 902, 903, 904",TUTORIAL,4,"51-941, 942, 943, 944 
ACADEMIC INTERNSHIP. May be repeated with change in content. Must be taken P/D/F."
"51-951, 952, 953, 954",INDEPENDENT STUDY,4,May be repeated with change in content.
"51-981, 982, 983, 984",HONORS,4,"By invitation only. 
COMMUNICATION STUDIES DEPARTMENT"
75-154,PUBLIC SPEAKING,4,"This course does not count towards the Communication Studies major or 
minor but could be taken as an elective. This course emphasizes speaking in public from a narrative 
paradigm. The guiding assumption will be that every public speech act implies a story, and that every 
image (metaphor, picture, nonverbal embodied communication form) concretizes and is explained by 
a narrative. Students will learn to be more reflexive, strategic, and skillful as public communicators 
by creating and performing several speeches that foreground the creation of a public self (ethos) 
created by articulating a relationship between self and audience through the use of narrative and 
image. (Fall, Spring)"
75-204,RHETORICAL THEORY,4,"This class examines a range of rhetorical theories that are used as critical 
perspectives in conducting rhetorical analyses. The course begins with the classical rhetorical theories 
founded in Ancient Greece, and then concentrates on contemporary rhetorical theory. Outcome goals 
include demonstrating how different theories can be applied to rhetorical texts and the kind of insights 
that different theories can yield. This class is required for the major. Prerequisites: Communication 
Studies 75-134. (Spring) (H)"
75-234,RHETORICS OF RESISTANCE,4,"This course examines the ways in which rhetoric is used for social 
protest. It emphasizes historical and cultural contexts as it looks at how social movements use diverse"
75-154,PUBLIC SPEAKING,4,"This course does not count towards the Communication Studies major or 
minor but could be taken as an elective. This course emphasizes speaking in public from a narrative 
paradigm. The guiding assumption will be that every public speech act implies a story, and that every 
image (metaphor, picture, nonverbal embodied communication form) concretizes and is explained by 
a narrative. Students will learn to be more reflexive, strategic, and skillful as public communicators 
by creating and performing several speeches that foreground the creation of a public self (ethos) 
created by articulating a relationship between self and audience through the use of narrative and 
image. (Fall, Spring)"
75-204,RHETORICAL THEORY,4,"This class examines a range of rhetorical theories that are used as critical 
perspectives in conducting rhetorical analyses. The course begins with the classical rhetorical theories 
founded in Ancient Greece, and then concentrates on contemporary rhetorical theory. Outcome goals 
include demonstrating how different theories can be applied to rhetorical texts and the kind of insights 
that different theories can yield. This class is required for the major. Prerequisites: Communication 
Studies 75-134. (Spring) (H)"
75-234,RHETORICS OF RESISTANCE,4,"This course examines the ways in which rhetoric is used for social 
protest. It emphasizes historical and cultural contexts as it looks at how social movements use diverse
rhetorical strategies to promote social justice. Contributes to Race and Ethnicity Studies/Allied 
Course. (H) (SJ)"
75-284,THE RHETORIC OF SURVEILLANCE,4,"This class examines surveillance discourse and how it 
targets particular bodies. It will explore how security discourse emerges at the intersections of race, 
gender and class to maintain structures of power that sustain national and economic interests. The 
course also addresses and how we might resist or ethically reclaim surveillance. Contributes to Race 
and Ethnicity Studies/Allied Course. (H) (SJ)"
75-404,COMMUNICATING LEADERSHIP,4,"This course examines current scholarship about how leadership 
is created and communicated in organizations and other aspects of our lives. Students will 
demonstrate an understanding of leadership, leadership styles, and the communication strategies of 
leadership. Discussion, reflective writing, critical thinking, and engagement will be used to assess 
these goals. Contributes to Business and Environmental Studies.  (H)"
75-444,COMMUNICATION AND MEMORY,4,"This course examines the role of communication in 
producing, representing, reinforcing, and contesting individual and collective memory at a variety of 
scales: within individuals as well as in between individuals in interpersonal relationships, families, 
communities, nations, cultures, and across cultures. The main focus is on learning the central critical 
theory and methodologies used in the analysis and interpretation of acts, practices, texts, objects, and 
spaces engaged in communicating individual and collective memory. (H) (SJ)"
75-464,ENVIRONMENTAL COMMUNICATION,4,"This course explores various environmental philosophies 
as they relate to communication contexts in the public sphere, including journalism, sustainability, 
consumerism, politics, environmental organizations, and ecotourism. We will also examine how 
environmental theories and policies are play out in local, national, and international arenas. 
Contributes to Environmental Studies. (H)"
75-554,ORGANIZATIONAL COMMUNICATION,4,"This radically collaborative course takes a high-impact, 
inquiry-based approach to studying organizational communication, a field that investigates the 
interpersonal, group, and mediated communication patterns and processes within and among a wide 
variety of organizations.  The course centers on a field-based case study of how internal and external 
communications work within a particular organization.  Readings and discussions before, during, and 
after the field study focus on learning dominant general organizational communication theories as 
well as developing the critical skills of collaborative research and writing necessary for performing 
the intensive field research.  (H)"
75-564,GENDER AND COMMUNICATION,4,"This course critically explores the process of becoming 
gendered in contemporary culture.  Drawing from a body of contemporary research and theories, 
including feminist, critical/cultural, queer, and psychoanalytic approaches, students will endeavor to 
discover the ways in which people communicate within a gendered culture.  Contexts include 
interpersonal relationships, families, organizations, institutions, and mediated communication. 
Contributes to Feminist Studies. (H) (SJ)"
75-604,CRITICAL MEDIA THEORY,4,"This course examines the diverse functions that media serve in the 
performance of individual, social, national, and transnational cultures and identities.  Students will 
analyze how the interdependent relations among media production, media texts, and media audiences 
are embedded in cultural discourses and dynamics of ideology, power, and agency, and will develop 
an ability to use theories and methodologies prevalent in cultural studies and critical media studies to 
research, analyze, interpret, and build effective arguments about the interrelationships between media 
and culture. This class is required for the major. Prerequisites: Communication Studies 75-134. (Fall) 
(H)"
75-614,IDENTITY AND MEDIA,4,"This course examines the ways in which individual and collective 
identities are constituted, shaped, and challenged through media, including entertainment media, 
social media, and new media. This course examines the ways that media affect (and are affected by) 
race, gender, class, age, sexuality, nationality, and other dimensions of identity. Contributes to 
Feminist Studies, and Race and Ethnicity Studies/Allied Course. (H)"
75-624,JOURNALISM,4,"This writing-intensive course considers the character, purposes and subject matter of 
documentary nonfiction narrative, with a special emphasis on the processes of writing, critiquing and 
revising student-produced feature articles for newspapers and magazines. (H)"
75-634,MONSTERS IN POPULAR CULTURE,4,"This class analyzes ontological, psychoanalytical, and 
symbolic expressions of monstrosity in various media texts, especially as they relate to race, 
colonialism, immigration, class, gender and sexuality, and labor and capitalism. Specifically, we will 
explore what the figure of the monster, be it zombies, werewolves, mass shooters, or vampires, can 
tell us about the cultural context and the cultural norms in which it emerges. The investigation of 
these varied iterations of monstrosity offers students unique opportunities to engage with and 
challenge popular culture in critical and meaningful ways. (H)"
75-654,MUSLIMS IN THE MEDIA,4,"This class examines the representations of Muslims in Western media. 
This includes exploring how popular discourse constructs Muslims, and how Muslims themselves 
participate in media discourse. This class also emphasizes identifying how the rhetorical strategies 
used to marginalize Muslims overlap with the strategies used to diminish other groups in the United 
States, thus establishing how power reproduces itself. Contributes to Feminist Studies, and  Race and 
Ethnicity Studies/Group-Theme Course. (H) (SJ)"
75-674,FILM STUDIES,4,"This course introduces students to critical, analytical and theoretical approaches to 
the study of film. To explore the complex role that cinema has played in American mass society since 
the early 20th century, special emphasis is placed on the study of institutional practices at all levels of 
the production, distribution and exhibition of films as well as the “ways of seeing” and the “ways of 
doing” that guide both filmmakers and audiences who use film as a communication medium.  
Contributes to Design Thinking. (H)"
75-684,ROAD MOVIES,4,"This course explores the road movie as a contemporary film genre but also a site of 
cultural work where representations, histories, futures, identities, bodies and ideas converge and 
collide. The course unfolds chronologically, situating case study films within their historically 
specific cultural discourses while over time also developing a detailed analysis of the development of 
the road movie as a genre and cultural form. (H)"
75-964,CAPSTONE RESEARCH SEMINAR,4,"This course requires students to integrate and extend work 
done throughout the Communication Studies major by producing a significant, original research 
project that is situated both within Communication Studies as a discipline and within the two cognate 
areas of the major: Rhetorical Studies, and Critical Media Studies. Topics and instructors vary. This 
class is required for the major, and Capstone applications must be submitted in the spring prior to the 
capstone year. Prerequisites: Communication Studies 75-134, 75-204, 75-604, and 75-804. (Fall, 
Spring) (WA)"
"75-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in content.
"75-301, 302, 303, 304",SELECTED TOPICS,4,May be repeated with change in content.
"75-901, 902, 903, 904",TUTORIAL,4,"75-941, 942, 943, 944,  
ACADEMIC INTERNSHIP. Must be taken Pass/D/F. May be repeated with change in content, but 
945, 946, 947, 948  
no more than four credits of Internship credit will count toward the major or the minor."
"75-951, 952, 953, 954",INDEPENDENT STUDY,4,"May be repeated with change in content, but no more than four credits of 
Independent Study will count toward the major or the minor."
75-984,HONORS,4,"By invitation only. Satisfies the capstone experience for the major. 
DATA ANALYTICS 
Interdisciplinary Program 
Program Coordinator: 
Andrew H. Ross, MBS, Assistant Professor of Business and Director of Business Internships 
The generation and storage of data has expanded exponentially in recent years. The Data Analytics interdisciplinary minor is 
designed to help students gain the tools and experience necessary to derive useful information from large bodies of quantitative 
and qualitative data.  The theoretical foundation of Data Analytics is based in mathematics and computer science; the practical 
applied meanings come from interpreting the data in the context from which it arose. The data analytics minor provides students 
with fundamental tools in statistics and computing and experience applying those tools in two different courses in the social 
sciences and/or natural sciences. 
 Economics (ECO)"
31-104,PRINCIPLES OF ECONOMICS,4,"A study of the general characteristics of economic systems, 
including unemployment, inflation, economic growth, and monetary and fiscal policy. The principles 
and problems related to the determination of prices, the economics of the firm and the distribution of 
income are also studied. (Fall, Spring) (ScS)"
31-224,INTERMEDIATE MICROECONOMIC THEORY,4,"Intermediate economic theory relating to the 
analysis of price and value, production, distribution of income and economic welfare. This course is 
intended for Economics majors and minors. Prerequisites: Economics 31-104 and Mathematics 52-
164, or permission of instructor. (Fall) (ScS)"
31-234,INTERMEDIATE MACROECONOMIC THEORY,4,"Intermediate economic theory relating to the 
analysis of employment, inflation, economic growth and the balance of payments. This course is 
intended for Economics majors and minors. Prerequisite: Economics 31-104 and Mathematics 52-
164. (Spring) (ScS)"
31-314,ECONOMETRICS,4,"Quantitative and qualitative research methods for economic problems. Research 
design, data collection and statistical analysis of cross-sectional data are covered. A major research 
paper and a regular computer lab are required. This course is intended for Economics majors. 
Prerequisites: Economics 31-224, 31-234 and Mathematics 52-114, or permission of instructor. 
Contributes to Data Analytics and Data Science. (Fall) (WA) (ScS)"
31-434,PUBLIC ECONOMICS,4,"Deals with the justification for government activities, the design of programs 
consistent with these justifications, and the effects of major existing and proposed expenditure 
programs and taxes. Contributes to Health Studies. Prerequisites: Economics 31-104 and Mathematics"
31-474,FINANCE,4,"See Business 30-474.  Prerequisites:  Economics 31-104, Business 30-114, Mathematics"
31-564,INTERNATIONAL ECONOMICS,4,"The theory of comparative advantage, analysis of commercial 
policy and principles of international finance. Contributes to International Studies. Prerequisite: 
Economics 31-104. (ScS)"
31-574,INVESTMENTS,4,"See Business 30-574. Prerequisites: Business 30-474 or Economics 31-474, or 
permission of instructor. (Fall) (ScS)"
31-964,CAPSTONE IN ECONOMICS,4,"Topics vary from year to year, but generally will involve group 
and/or individual research projects. Prerequisite: Senior standing and Economics 31-224, 31-234, and"
"31-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"31-301, 302, 303, 304",SELECTED TOPICS,4,"May be repeated with change in topic. Four credits will count as one upper-
level course."
"31-901, 902, 903, 904",TUTORIAL,4,"31-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Must be taken Pass/D/F. Four credits will count as one upper-level 
course, and a maximum of four credits may be applied toward the major."
"31-951, 952, 953, 954",INDEPENDENT STUDY AND RESEARCH,4,"Four credits will count as one upper-level course, and 
a maximum of four credits may be applied toward the major."
31-982,HONORS,2,"By invitation only. Must be repeated once to earn “Honors” designation. 
Business (BUS)"
30-114,FUNDAMENTALS OF ACCOUNTING,4,"An introduction to financial and managerial accounting 
concepts and techniques. The course will emphasize the development of the accounting model, 
analysis of financial statements and the use of accounting information. No previous knowledge of 
accounting is assumed. (Fall, Spring) (ScS) 
86"
30-204,INTERMEDIATE ACCOUNTING,4,"An in-depth study of financial accounting principles, standards 
and techniques. Covers financial statements, cash, receivables, inventory, plant assets, intangible 
assets and investments. Special attention is paid to underlying accounting theory. Prerequisite: 
Business 30-114. (ScS)"
30-214,FOUNDATIONS OF BUSINESS,4,"A study that integrates traditional macro issues in management, 
marketing and operations, including production systems, organization structure and design, market 
segmentation, pricing promotion, consumer behavior, group effectiveness and strategy. Strategic 
thinking approaches provide integrating frameworks. Prerequisites: Business 30-114, Economics 31-
104, Mathematics 52-114, and Mathematics 52-164. Sophomore standing required. (Fall, Spring) 
(ScS)"
30-254,BUSINESS LAW,4,"The role of law in society; introduction to legal reasoning, the judicial process and 
other areas of law. The study of contracts, agency and partnerships. Prerequisite: Sophomore 
standing. (ScS)"
30-394,CONSUMER BEHAVIOR,4,"Understanding the buying processes of individuals and groups. Focuses 
on the demographic and psychographic characteristics of individual consumers, the social influences 
that affect their behavior, and how marketers attempt to persuade buyers. Contributes to Design 
Thinking. Prerequisite: Business 30-214. (ScS)"
30-414,OPERATIONS RESEARCH,4,"Formulation and solution of problems with management, economics, 
engineering and science applications using modeling, optimization techniques, and simulation. Topics 
include linear and integer programming, simplex method, duality, sensitivity analysis, branch and 
bound algorithm, transportation and assignment problems, network optimization, and problem solving 
using optimization software. Also Mathematics 52-414 and Computer Science 54-414. Contributes to 
Data Analytics and  Data Science.  Prerequisites: Mathematics 52-164 (Modern Calculus I), and either 
Business 30-474 (Finance), Mathematics 52-674 (Linear Algebra), some Computer Science course at 
the 300 level or above, or permission of the instructor."
30-434,DIGITAL MARKETING,4,"This course covers the fundamentals of digital marketing. Students learn 
how to apply and adapt traditional marketing strategies to an electronic domain (e.g., understanding 
the Internet for distribution). The classes and readings introduce students to search engine 
optimization (SEO), website management, and e-mail campaign strategies. The course also includes 
discussions of the ethical issues surrounding and related to e-marketing including privacy and 
psychological well-being. The latter part of the class is focused on social media. This includes 
analysis of social media metrics and user sentiment. Contributes to Data Science. Prerequisite: 
Business 30-214. (ScS)"
30-454,AUDITING,4,"Study of auditing concepts, standards, objectives and procedures. Includes internal 
control evaluation, audit reports, evidence, statistical sampling, professional responsibilities and 
generally accepted auditing standards. Prerequisite: Business 30-114. (ScS)"
30-464,INNOVATION AND STRATEGY,4,"Technology and innovation are pervasive in today’s business 
world, and all modern businesses need to manage and plan for technological change. 
This course discusses analytical techniques and frameworks to understand and manage technological 
change. Students get to apply these frameworks to analyze current innovations and businesses. In 
doing so, students learn about the latest and emerging technologies and how such innovations shape 
modern businesses. Prerequisite: Business 30-214. (ScS)"
30-474,FINANCE,4,"Analysis and application of the principles of managerial finance, especially the valuation 
of financial assets, capital budgeting and financial planning. Proficiency is gained in the application of 
calculators and computer spread sheets to financial analysis. Also Economics 31-474. Prerequisites: 
Business 30-114, Economics 31-104, Mathematics 52-114, and Mathematics 52-164, and 42 credits. 
(Fall, Spring) (ScS)"
30-554,ORGANIZATIONAL BEHAVIOR,4,"A study of the process of management focused on the behavioral 
approach to management of modern business organizations with emphasis on individual, group, 
intergroup and total organizational behavior. Communication, leadership styles, perceptual 
differences and motivation in organizations are stressed. Prerequisite: Business 30-214.  (ScS)"
30-574,INVESTMENTS,4,"Principles of portfolio management and institutional investment analysis; various 
theories of the securities markets and their relation to the economy; the relation between investment 
theory and corporate investment; relation of investment to corporate capital structure; and different 
approaches to security evaluation using Excel models. Also Economics 31-574.  Prerequisites: 
Business 30-474 or Economics 31-474, or permission of instructor. (Fall) (ScS) 
87"
30-584,INTERNATIONAL BUSINESS,4,"This course develops a conceptual framework for making business 
decisions in a globally competitive company. This framework requires an understanding of an 
environment that has different cultures and values, multiple foreign currencies, alternative capital 
markets, and country specific risks. The course focuses on the multinational firm’s operating 
environment, global strategy and functional operations. Contributes to International Studies.  
Prerequisite: Business 30-214 or permission of instructor. (ScS)"
30-594,FINANCIAL STATEMENT ANALYSIS,4,"Application of accounting information to financial 
decision making: assessing the financial strengths and weaknesses of corporations; measuring 
operating and financial performance using financial statements and cash flows; constructing pro 
forma financial statements and forecasts of sales and earnings; and identifying sources of earning 
manipulation. Prerequisites: Business 30-474 or Economics 31-474.  (Spring) (ScS)"
30-964,CAPSTONE IN BUSINESS,4,"Topics may vary from year to year. Students integrate and apply core 
concepts from multiple disciplines of business, incorporate societal context of business, consider a 
business issue from systemic perspectives, explore interactive effect of multiple variables, analyze 
and synthesize complex ideas and distill implications, present logic orally and in writing, and conduct 
a cumulative self-assessment. Prerequisites: Business 30-214, Business 30-474 or Economics 31-474, 
and senior standing or permission of instructor. (Fall, Spring)"
"30-001, 002, 003, 004",SELECTED TOPICS,4,May be repeated with change in topic.
"30-301, 302, 303, 304",SELECTED TOPICS,4,"May be repeated with change in topic. Four credits will count as one upper-
level course."
"30-901, 902, 903, 904",TUTORIAL,4,"30-941, 942, 943, 944 
ACADEMIC INTERNSHIP. Must be taken Pass/D/F. Four credits will count as one upper-level 
course, and a maximum of four credits may be applied toward the major."
"30-951, 952, 953, 954",INDEPENDENT STUDY AND RESEARCH,4,"Four credits will count as one upper-level course, and 
a maximum of four credits may be applied toward the major."
30-982,HONORS,2,"By invitation only. Must be repeated once to earn “Honors” designation.   
EDUCATION DEPARTMENT 
Social Sciences Area 
Michael Kamen, PhD, Professor 
Alicia Moore, PhD, Associate Professor 
Raquel Sáenz Ortiz, PhD, Assistant Professor 
Deborah Shepherd, MEd, Visiting Instructor 
Alice Sullivan, PhD, Part-Time Assistant Professor 

98 
 
Education  (EDU)"
40-114,EDUCATIONAL TECHNOLOGY,4,"An examination of the role of technology to empower K-12 
students to learn how to learn. This course focuses on information literacy in the use of computer-
based technology to support student-centered teaching, learning, classroom organization and meeting 
technology standards. Methods of integrating computer-based technology into elementary and 
secondary classroom instruction are investigated. Google tools and other education-related applications 
will be  incorporated into lesson plans and used to design basic classroom Web pages, E-portfolios, 
and complete Google Educator Training. Students are required to make observations in local schools. 
Permission of the instructor required for non-certifying/non-Education majors. (ScS) (FALL)"
