code,title,credits,description
ACCA 5307,Accounting for Management,3,"The study of accounting as related to 
problems of making business decisions. Readings, cases and problems dealing with 
accounting concepts; budgeting and cost control, use of accounting data in planning 
operation and policy formulation. Equivalent courses: ACCT 5307 (through Summer 
2022), ACC 5307 (through Summer 2022), ACCR 5307NoneNone"
ACCA 5310,Taxation Business Enterprise: Seminar in Taxation,3,"An 
investigation and analysis of a variety of taxes and their impact on strategic business 
decisions. The tax implication of alternate business forms such as corporations or 
partnerships are examined in detail. Equivalent courses: ACCT 5310 (through Summer 
2022), ACCR 5310NoneNone"
ACCR 3312,Accounting Systems-QuickBooks,3,"The study of Accounting  
Information Systems with an emphasis on the practical use of Accounting Software 
(QuickBooks). A hands-on approach to the accounting cycle including the following 
business processes: banking, Customers and Sales; Vendors, Purchases, and 
Inventory; Employees and Payroll; reports and Graphs. Prerequisites: ACC 2302 orNoneNone"
ACCA 3332,ACCR 3330 Intermediate Accounting I,3,"Concepts, principles, and practices of 
accounting with emphasis on determination of income and financial position of business 
corporations. Prerequisites: ACC 2301 and ACC 2302. Equivalent courses: ACC 3330 
(through Summer 2022), ACCA 3330NoneNone"
ACCR 3331,Intermediate Accounting II,3,"Continuation of Intermediate  
Accounting I. Prerequisite: ACC 3330. Equivalent courses: ACC 3331 (through Summer 
2022), ACCA 3331ACC 3330. Equivalent courses: ACC 3331 (through Summer None"
ACCR 3332,Cost Accounting,3,"The study of cost accounting fundamentals, the 
purpose of cost accounting-primarily product costing and planning and control; various 
methods of attaining these goals, such as job order costing, process costing, budgeting, 
standard costs, profit-cost volume relationships, analysis of variances, contribution 
approach, relevant costs, and inventory control. Prerequisite: ACC 2301 and 2302. 
Equivalent courses: ACC 3332 (through Summer 2022), ACCT 3332 (through Summer 
2022), ACCA 3332ACC 2301 and 2302. None"
ACCR 3333,Financial Statement Analysis,3,"This course provides an integrated 
approach to accounting. Concepts and issues in all functional areas of accounting are 
presented. Topics include budget and cost control, accounting data in planning, and 
policy formulation. Prerequisite: ACC 2301 & 2302. Equivalent courses: ACC 3333 
(through Summer 2022), ACCA 3333ACC 2301 & 2302. Equivalent courses: ACC 3333 None"
ACCR 3334,Governments and Not-for-Profit Accounting,3,"In this course, 
students study the concepts and techniques of fund accounting, and financial reporting 
for government and not-for-profit agencies including state and local governments, 
universities, hospitals, and other public sector organizations. Prerequisite: ACC 2302.ACC 2302.ACC 3334 (through Summer 2022), ACCA 3334"
ACCR 4330,Principles of Taxation,3,"Principles of taxation with emphasis upon 
federal income tax as it applies to individuals. Prerequisite: ACC 2301 & 2302.ACC 2301 & 2302.ACCT/ACC 4330 (through Summer 2022), ACCA 4330"
ACCR 4334,Accounting Information Systems,3,"Use of the computer in the 
processing of business transactions, analysis of accounting information and in auditing.  
(Various) Prerequisites: ACC 2301 and 232. Equivalent courses: ACC 4334 (through 
Summer 2022), ACCA 4334NoneNone"
ACCR 5307,Accounting for Management,3,"The study of accounting as related to 
problems of making business decisions. Readings, cases and problems dealing with 
accounting concepts; budgeting and cost control, use of accounting data in planning 
operation and policy formulation. Equivalent courses: ACCT 5307 (through Summer 
2022), ACC 5307 (through Summer 2022), ACCA 5307NoneNone"
ACCR 5310,Taxation Business Enterprise: Seminar in Taxation,3,"An 
investigation and analysis of a variety of taxes and their impact on strategic business 
decisions. The tax implication of alternate business forms such as corporations or 
partnerships are examined in detail. Equivalent courses: ACCT 5310 (through Summer  
2022), ACCA 5310  
AGRICULTURAL BUSINESS (AGB) COURSESNoneNone"
AGB 2302,Agricultural Economics,3,"Orientation to the application of economic 
theory to agribusiness management. Microeconomic principles pertaining to the 
production and marketing of agricultural products.NoneNone"
AGB 3302,Agricultural Marketing,3,"An overview of the nature and structure of 
agricultural product markets in the U.S.; agricultural product prices, price determination 
and price discovery processes; use of commodity futures as a marketing tool.NoneNone"
AGB 3304,Range Use Economics,3,"This course covers all facets of the 
economics of rangeland management, including grazing management, supplemental 
feeding and other inputs, balancing multiple species use, and calculating the benefits of 
range improvement and opportunity costs associated with rangeland use.NoneNone"
AGB 3305,Ag Event Planning and Management,3,"To plan, organize, manage, 
and produce events.NoneNone"
AGB 3310,Special Topics,3,"Selected topics in the field of agricultural business. 
Topics selected according to student interest and need. May be repeated as topics 
vary.NoneNone"
AGB 4301,Sustainability & Diversity in Ranch Business,3,"This course 
introduces and develops the idea of sustainability and diversity within the framework of 
a ranching business. Emphasis will be placed on how sustainability practices and 
diversity within business can mediate market risks and increase overall income and 
long-term rangeland and economic health.NoneNone"
AGB 4303,Agri-Business Management,3,"QEP MAPPED COURSE.  
Agriculture production as a business. Types of legal organization for farms and ranches, 
as well as businesses involved in the processing, wholesaling, and retailing of 
agricultural products. Principles of business management applied to the agri-business 
with emphasis on factors affecting profits, choice of enterprises, and the efficient use 
natural, financial and human resources.NoneNone"
AGB 4308,Natural Resource and Environmental Economics,3,"Topics covered 
will include:  an overview of the modern environmental movement, economic impacts of 
law and regulation including planning, zoning and farm policy, the economics of 
pollution and recycling, private property and free market conservation with an emphasis 
on the economic impacts and influences on farm, ranch, and agribusiness decision 
making processes.NoneNone"
AGB 4315,Farm and Ranch Records and Accounting,3,"A review of the 
principles of accounting as they apply to the modern farm or ranch. Fundamentals of 
cost and managerial accounting applied directly to agricultural production at the farm 
and ranch level: product costing, planning, control, standards and budgeting, and profit 
cost volume relationships. This course will emphasize the use and applications of 
spread sheet programs. Prerequisite: ACC 2301.  
AGRICULTURAL EDUCATION (AGED) COURSESACC 2301.  None"
AGED 2304,Introduction to Agricultural Education,3,"An analysis of evolving 
concepts and philosophies of agricultural education programs with emphasis upon 
history, legislation, and principles underlying organization and practice. This course is 
designed to prepare students for entry or advancement in agricultural occupations and 
professions, job creation and entrepreneurship and agricultural literacy. Elements of this 
course includes: (1) explaining relationships of agricultural education to school-based 
programs, (2) the utilization of components to the agricultural education model in 
promoting supervised agricultural experiences, and (3) identifying recent trends and 
developments in education and discussing the impact of these events on agricultural 
education programs. Equivalent courses: ANSC 3304 (through Summer 2014), ANSC 
2304 (through Summer 2022)NoneNone"
AGED 2313,Principles of Agricultural Leadership,3,"A study in basic vocational 
education including the following essential elements including concepts and skills 
relating to self-awareness, academics to vocational education, study habits, productive 
work habits, attitudes and employability skills, consumer management, occupational 
awareness and career decision making and associated with diverse human relations 
and personality development. Vocational Education history and parliamentary 
procedure will also be included. Equivalent courses: ANSC 2313 (through Summer 
2022)NoneNone"
AGED 3318,Teaching Methods in Agricultural Education,2,"Instructional 
methodology course that focuses on the selection and use of teaching strategies, 
methods/approaches, and techniques; evaluating learning; and managing learning 
environments for teaching agricultural subjects in formal educational settings. 
Equivalent courses: ANSC 3318 (through Summer 2022)NoneNone"
AGED 3319,Special Populations in Agricultural Education,3,"This advanced 
course will focus on the diverse needs of students for teaching and learning to take 
place. Special emphasis will be placed on the instruction of agricultural educations to 
populations of students within economic, gender, ethnic, cultural, political and physical 
differences. Students will discover and use educational theory to examine strategies 
and plans to overcome problems in their educational occupations. Students will 
research both legal requirements and expectations that affect what can be done to 
increase student learning web offered class. Equivalent courses: ANSC 3319 (through 
Summer 2022)NoneNone"
AGED 3320,Public Policies in Agriculture,3,"An analysis of evolving concepts and 
philosophies of agricultural and governmental programming, while applying analytical 
methods and critical thinking skills in assessing the role of politics in policy making. 
Students can interpret complex and conflicting data and arguments, evaluate alternative 
courses of action, and anticipate the consequences of policy choices. Students will 
learn how to find and interpret policy relevant information and to acquire an 
understanding of the limitations to what government can do about public problems.NoneANSC 3320 (through Summer 2022)"
AGED 3321,Curriculum and Program Planning in Agriculture,3,"This course is 
designed to help students plan, develop, and assess agricultural education curricula in 
accordance with current standards , and focus on principles and practices used in 
designing courses of instruction for effective teaching and total program development. 
Emphasis will be placed on providing information useful to agriculture teachers, 
extension agents and administrators that might improve the effectiveness of the 
educational system. Goals of the course include: (1) identifying potential and existing 
education programs in agricultural education at the middle school, junior high, 
secondary, post-secondary (adult) and teacher education levels and in extension 
education; (2) the development and testing of alternative means and methods of 
improving program components including improving methodological approaches, and 
(3) the development of curriculum and programs that foster individual and 
organizational change while building skills and the examination of personal values and 
belief. Equivalent courses: ANSC 3321 (through Summer 2022)  
ANIMAL SCIENCE (ANSC) COURSESNoneNone"
ANSC 1101,Freshman Seminar,1,"Seminar course designed to introduce students 
to faculty, facilities, and programs in ANRS and introduce students to study skills 
essential to a successful career. Offered fall and spring. Equivalent courses: SRSU 
1101, NRM 1101, IT 1101NoneNone"
ANSC 1419,Introductory Animal Science,3,"An introduction to the 
contributory role of animals to human well-being, with emphasis on fundamental 
concepts of animal physiology, nutrition, reproduction, growth, lactation, genetics, 
behavior, and management. The historical and economic structure of global and 
domestic livestock industries is also presented. Offered fall and spring.NoneNone"
ANSC 2301,Introduction to Agriculture,3,"Course is designed to provide an 
overview of the agricultural sciences related to the scientific principles and practices of 
  
  
food and fiber production. Also will include examples of current agricultural technologies 
and applications.NoneNone"
ANSC 2303,Horsemanship I,1,"Students will learn the inherited behaviors, learned 
behaviors and psychological aspects of behavior modifications used in training horses. 
Emphasis will be placed on equine handling, grooming, basic training techniques, riding 
equipment, and safety. Students will learn how to perform basic groundwork and basic 
riding maneuvers on an assigned school or personal project horse. Fall odd years.NoneNone"
ANSC 2305,Meat Animal and Carcass Evaluation,2,"Evaluation of carcasses and 
wholesale cuts of beef, pork and lamb, factors influencing grades, yields and values in 
cattle, sheep, and swine. Offered fall.NoneNone"
ANSC 2306,Companion Animal Management,3,"A study of the breeds, 
management, genetics, reproduction, nutrition and diseases of major classes of 
companion animals.NoneNone"
ANSC 2308,Horsemanship II,1,"Emphasis will be placed on application of actual 
training young horses and teaching advanced maneuvers to older horses. Students will 
learn how to utilize advanced training practices and applications to enhance the training 
and performance of horses.NoneNone"
ANSC 2311,Problems in Animal Science,3,"Individualized instruction in all facets 
of Animal Science. Course development to meet specific needs of individual students. 
May be repeated with approval of ANSC Chair. Offered all semesters.NoneNone"
ANSC 2312,Current Issues in Ag,3,"This course is designed to educate students 
about major issues in agriculture, life sciences, and natural resource sciences and to 
expose students to a variety of methods used to effectively communicate, inform, and 
influence decisions about these issues.NoneNone"
ANSC 2318,Introduction to Farrier Work,3,"A course designed to introduce 
students to equine footcare including: contemporary and evolving technologies in shoe 
and tool making.NoneNone"
ANSC 2335,Domestic Animals,3,"An introductory course on the types and unique 
attributes of domestic animals with an emphasis on fundamental concepts of animal 
husbandry.NoneNone"
ANSC 3305,Horse Production and Management,3,"Principles of scientific horse 
production and application of horse management skills. Topics covered include 
nutrition, reproduction, health and disease, genetics and selection, and economic 
aspects of equine enterprises.NoneNone"
ANSC 3307,Sausage Manufacturing,2,"The manufacturing of processed meats.  
Product formulation, curing, smoking, sanitation, and quality control. Prerequisite: ANSC 
3406; will be offered in 8-week format.ANSC None"
ANSC 3309,Sheep and Goat Production and Management,2,"This course will 
include study of accepted practices in sheep and goat production and management. To 
be included: breeding, feeding, and management. Laboratory exercises will be an 
important portion of the course. Offered alternate years; offered spring only.NoneNone"
ANSC 3310,Special Topics,3,"Selected topics in the field of Animal Science. Topic 
selected according to student interest and need. May be repeated as topics vary. 
Offered all semesters.NoneNone"
ANSC 3312,Equine Exercise Physiology,3,"This course is designed to provide 
students with an understanding of the physiological and environmental factors 
associated with the athletic performance of horses. This course will cover adaption of 
the respiratory, cardiovascular, musculoskeletal, thermo-regulatory, and support 
systems to training and exercise. Conditioning methods and common athletic injuries 
will also be discussed. Offered fall only. Prerequisites: ANSC 1419, 3311 or 4310.NoneNone"
ANSC 3313,Equine Lameness and Rehabilitation,3,"This course is designed to 
provide students with an understanding of the common causes of lameness in sport 
horses. Fundamentals and advanced principles of conformation, biomechanics, injury 
prevention and physical rehabilitation will be discussed. Emphasis will be placed on 
current research in the subject area. Offered fall only. Prerequisites: ANSC 1419, ANSC 
4310 or 3311NoneNone"
ANSC 3315,Applied Animal Behavior and Welfare,3,"Transdisciplinary study of 
animal behavior as it relates to the management and well-being of domestic livestock 
and captive animal species. Special emphasis on human-animal interactions, 
assessment and standards, and facility design. Prerequisite: ANSC 1419.ANSC 1419.None"
ANSC 3401,Corrective Horse Shoeing,3,"An advanced course in Farrier 
Technology that will focus on correcting foot lameness in the horse through specialized 
shoeing.NoneNone"
ANSC 3402,Beef Cattle Production and Management,3,"The course will be 
divided into the areas of history, breeding, feeding, and management of beef cattle. 
Range laboratory exercises will be an integral part of the course. Offered fall only.NoneNone"
ANSC 3405,Special Topics,4,"Selected topics in the field of Animal Science. Topic 
selected according to student interest and need. May be repeated as topics vary. 
Offered all semesters.NoneNone"
ANSC 3406,Meat Science,3,"A course designed to teach the basic physical and 
chemical components of meat tissues, as well as, quantitative and qualitative attributes 
of meat and meat products, including processing, manufacturing, distribution, and 
preservation principles of meat production. Students will develop technological and 
manipulative skills in the slaughter and cutting of meat animals and the processing of 
meat products. To re-introduce anatomy, muscle structure and function, chemical 
composition and physical characteristics of carcasses and cuts as determinants of live 
animal and meat quality. Students will learn the skills of carcass identification and 
grading to facilitate descriptions and definitions of quality and curability in meat animal 
products. Prerequisites: ANSC 3410 or 3311NoneNone"
ANSC 3410,Anatomy & Physiology of Domestic Animals,3,"An Introduction to 
basic anatomy and physiology, focusing on domestic animals. Topics will range from 
cell biology through organ systems and include both anatomy and physiology within the 
systems and total body interaction. Students will learn to apply content from the course 
by working through clinical case studies focused on animal health. Labs will include 
  
  
animal dissection to further illustrate the principles being taught in the course. 
Prerequisite: ANSC 1419ANSC 1419None"
ANSC 3411,Livestock Slaughter Inspection,3,"The content of this course deals 
with federal and state regulations pertaining to livestock slaughter for human 
consumption. Laboratory training will be given to promote proficiency in meat inspection 
procedure. Offered alternate years; offered spring only.NoneNone"
ANSC 3412,Advanced Farrier Training,3,"Advanced course in Equine Foot care 
including: contemporary aspects of hot forging handmade shoes for all uses. It will 
include contemporary and evolving technologies in shoe and tool making. Equivalent 
courses: ANSC 2401 (through Summer 2022)NoneNone"
ANSC 3416,Livestock and Wildlife Nutritional Management,3,"Provide a 
thorough understanding of feeds and nutrients, their classifications and an introduction 
to how animals digest and absorb nutrients. Animal species will be discussed 
individually and how rations vary and are formulated depending on stage of life or 
production. Both computer and hand diet formulation will be practiced. Prerequisite: 
1419 or NRM 2330 or instructor consent.NoneNone"
ANSC 3421,Basic Farrier Training,1,"A basic course in the principles of 
horseshoeing including: common unsoundness, horse handling skills, hoof trimming, 
balancing, and cold shoeing technique. Necessary hand tools must be purchased by 
students. Prerequisite: ANSC 3313 or concurrent enrollment.ANSC 3313 or concurrent enrollment.None"
ANSC 4300,Meat Technology,2,"This course is designed to educate students 
about the global product that is meat and to expose students to a variety of methods 
and technologies used to critically evaluate producers, manufacturers, transporters, and 
retailers’ issues and effectively communicate, inform, and influence decisions made ab 
out these issues. Additionally, this course explores the impacts of consumer issues on 
the meat animal industry and food supply chain. Prerequisites ANSC 3406 or 2406.NoneNone"
ANSC 4302,Food and Meat Safety,3,"This course is designed to educate students 
about Food and Meat safety; food borne pathogens; hazard analysis critical control 
points (HACCP) and total quality management (TQM) practices. We will identify and 
evaluate potential human health problems from bacterial pathogens; Study the behavior 
of pathogenic bacteria (e.g., Escherichia coli O157:H7, non-O157 Shiga Toxin-
producing E. coli, Listeria monocytogenes, Salmonella and Campylobacters) in foods. 
We will also study how to reduce the incidence of foodborne illness by developing 
procedures, techniques, and effective interventions for pathogen reduction and control 
throughout the food chain; Study the molecular ecology and transmission dynamics of 
human food borne pathogens; Probe the molecular pathogenesis of human food borne 
diseases. Examine animal identification and traceability systems for prevention/control 
of spread of foreign animal diseases, foodborne pathogen outbreaks and 
agricultural/food bioterrorism. Prerequisite: ANSC 2406ANSC 2406None"
ANSC 4303,Meat Fabrication,2,"This course is designed to educate students about 
the global product that is meat and to expose students to meat fabrication as part of the 
culinary arts will find this course informational. Meat fabrication is breaking down the 
body of an animal into consumer cuts and boned meat. We aim to educate students to 
  
  
gain a holistic concept of cooking that they could not get simply from picking up a pack 
of meat at the grocery store or butcher shop.NoneNone"
ANSC 4304,Reproductive Physiology,3,"Study of anatomical and physiological 
process of reproduction in domestic animals and wildlife. Offered fall.NoneNone"
ANSC 4305,Agricultural Genetics,3,"Quantitative genetic principles applied to 
mating and selection of domestic livestock, wildlife, and range plants. The course 
integrates Mendelian principles with biomedical and statistical probability techniques for 
proper application to breeding, selection, inbreeding, line breeding, and pedigree 
information for progressive animal and plant breeding. The influences of gene 
frequency, heritability, and genetic relationships on the gene pool of populations is 
integrated into this course. The course includes application of the Hardy-Weinberg law 
and statistical correlation and regression as applied to selection of superior genetic lines 
of plants and animals. Offered fall only.NoneNone"
ANSC 4306,Animal Heath and Diseases,3,"Introduction to the basic principles of epidemiology with special reference to the 
pathogenesis of diseases in the animal population; description of the role of the animal 
scientist, veterinarian and farm manager in the control of diseases.NoneNone"
ANSC 4307,Ultrasonography and Reproductive Techniques,3,"Evaluation and 
application of various techniques to control and determine reproductive functions in 
livestock. Ultrasonography as assisted reproductive techniques to eliminate infertility 
and achieve pregnancy in domestic animals.NoneNone"
ANSC 4308,Animal Nutrition,3,"Physiology and chemistry of digestion, absorption 
and metabolism of nutrients by animals will be discussed, including requirements, 
utilization, and the effects of deficiencies and toxicities. Prerequisites: ANSC 1419,NoneNone"
ANSC 4309,Meat Que’Linary West Texas Barbecue,3,"This course is designed to 
educate students using surveys, demonstrations, and participating in a class celebrating 
the rich heritage of American Barbecue. We will explore Texas Barbecue; preparation 
techniques which includes types of meats, seasonings, and cooking methods with 
emphasis of meat in the diet and food safety, cost and availability. Emphasis will focus 
on regional cuisine and international methods to compare to the U.S.NoneNone"
ANSC 4310,Artificial Insemination of Farm Animals,2,"History, importance and 
implications of artificial insemination; advantages and limitations of its use in farm 
animals. Various methods of collection are studied; evaluation of semen, dilution and 
storage of semen and techniques of insemination are covered. Offered summer only.NoneNone"
ANSC 4311,Problems in Animal Science,3,"Individualized instruction in all facets 
of Animal Science. Course developed to meet specific needs of individual students. 
May be repeated with approval of ANSC Chair. Offered all semesters. Prerequisite: 
Approval of ANSC chair.NoneNone"
ANSC 4314,Forage Production and Management,3,"Concept and practical 
aspects of forage production, with emphasis on the southern half of the United States. 
Forage management and forage species and a review of grazing systems for differed 
species of livestock will be covered in the course. The practical application of 
  
  
knowledge will be stressed in this course with multiple real-life case studies being 
covered.NoneNone"
ANSC 4315,"Hormones, Behavior and Diseases",3,"The influence of hormones on 
sexual and nonsexual behavior and development of diseases in domestic animals, 
wildlife and humans.NoneNone"
ANSC 4316,Ruminant Nutrition,3,"Physiology and chemistry of digestion, 
absorption and metabolism of nutrients in ruminants; nutrient functions, requirements, 
utilization and the effects of nutrient deficiencies and toxicities. An emphasis will be 
placed on ruminant specific metabolism and the net energy system. Prerequisite: ANSC 
3311 or 3410ANSC None"
ANSC 4317,Senior Capstone,3,"This course provides senior animal science 
students with an opportunity to reflect upon the animal science course of study and to 
synthesize the material learned throughout their coursework. This course prepares 
students to enter the workforce.NoneNone"
ANSC 4601,Experiences in Agricultural Enterprises,0,"In-depth training in the 
management of various agriculture enterprises and/ or actual on-the-job supervised 
training through an internship. Students will be required to make an in-depth report after 
completion of project/internship. Offered all semesters. Prerequisite: Approval of ANSC 
chair.Approval of ANSC None"
ANSC 5303,Special Topics,3,"Advanced studies in current agricultural and natural 
resource sciences research. Topics assigned according to the experience, interest, and 
needs of the individual student. Registration approval by the ANSC chair. May be 
repeated under different subject matter titles.NoneNone"
ANSC 5304,Forage Production and Management,0,"Concepts and practical 
aspects of forage production, with emphasis on the southern half of the United States. 
Forage Management and forage species and a review of grazing systems for differed 
species of livestock will be covered in the course. The practical application of 
knowledge will be stressed in this course with multiple real-life case studies being 
covered.NoneNone"
ANSC 5306,Protein and Amino Acid Metabolism,3,"This course is designed to 
continue the nutrition education with an emphasis on biochemical pathways and 
metabolic control of nutrient partitioning related to protein and amino acid metabolism. 
Urea cycle, glutamine metabolism, methionine cycle and additional metabolic pathways 
will be discussed.NoneNone"
ANSC 5308,Principles of Teaching Adult Learners,3,"This course covers a broad 
range of topics in the field of adult education. The purpose is to further the development 
of adult educators; therefore, the course focuses on theories, methods, and issues in 
adult education.NoneNone"
ANSC 5314,Advanced Endocrinology,3,"Structure and function of endocrine 
glands and how their secretions regulate biochemical reactions, integrate tissue and 
organ systems, and control behavior.NoneNone"
ANSC 5315,Advanced Reproductive Techniques,3,"Detailed study of the various 
techniques to control and determine reproductive functions in domestic and 
  
  
nondomestic species. Techniques covered will include semen collection, evaluation and 
freezing; super ovulation, oocyte-embryo collection, in vitro oocyte maturation, sperm 
capacitation, in vitro fertilization, embryo culture, embryo micromanipulation, embryo 
freezing and transfer; and ultrasonography.NoneNone"
ANSC 5317,Implementing Change,3,"This course examines the processes by 
which professional change agents influence the introduction, adoption, and diffusion of 
technological changes.NoneNone"
ANSC 5320,Advanced Livestock Nutritional Management,3,"Provide a thorough 
understanding of feeds and nutrients, their classifications and an introduction to how 
animals digest and absorb nutrients. Animal species will be discussed individually and 
how rations vary and are formulated depending on stage of life or production. Ration 
balancing by hand and using computer programs will be covered in the class.NoneNone"
ANSC 5321,Animal Science Business Planning,3,"This course lays out the basic 
theory of microeconomics with numerous examples from the food and agricultural 
industries, while the coverage of macroeconomics emphasizes real world applications 
rather than pure theory.NoneNone"
ANSC 5322,Statistics for the Animal Sciences,3,"This course emphasizes 
statistical literacy, use of real data and technology, statistical conceptual understanding 
and active learning.NoneNone"
ANSC 5323,Research Literature,3,"This course guides the student, step-by-step, 
from the selection of a problem, through the process of conducting authentic research, 
to the preparation of completed report, with practical suggestions based on a solid 
theoretical framework.NoneNone"
ANSC 5324,Animal Physiology,3,"The course is designed to expand upon the 
basic principles of anatomy and physiology of farm animals, emphasizing ruminant and 
equine digestive physiology. Individual systems will be discussed as well as topics from 
current scientific discussions and publications.NoneNone"
ANSC 5325,Agricultural Genetics and Biotechnology,3,"This course provides a 
student with solid grounding in core genetics and biotechnology concepts, as well as 
information on cutting-edge science and technology and their applications in real-world 
agriculture, medicine, and health care.NoneNone"
ANSC 5326,Animal Reproduction,3,"Study of the anatomical, cellular and 
physiological mechanisms that control the endocrine and reproductive systems of 
domestic animals and wildlife.NoneNone"
ANSC 5327,Animal Nutrition,3,"This course is designed to continue the nutrition 
education with an emphasis on biochemical pathways and metabolic control of nutrient 
partitioning. Glycolysis, TCA cycle, Urea cycle, Gluconeogenesis, and additional 
metabolic pathways will be discussed as well as nutrient metabolism and ruminant 
specific metabolism related to VFAs.NoneNone"
ANSC 5328,Meat Production,3,"This course is designed to educate students about 
the global product that is meat and to expose students to the conversion of muscle to 
  
  
meat with emphasis on physical and biochemical changes. Microbiology and other 
related characteristics of meat and its implication in commercial meat processing. A 
course designed to teach the advance physical and chemical components of meat 
tissues, as well as, quantitative and qualitative attributes of meat and meat products, 
including processing, manufacturing, distribution, and preservation principles of meat 
production. Students will understand technological and manipulative skills in the 
slaughter and cutting of meat animals and the processing of meat products. To further 
discuss anatomy, muscle structure and function, chemical composition and physical 
characteristics of carcasses and cuts as determinants of live animal and meat quality.NoneNone"
ANSC 5329,Advanced Food and Meat Safety,3,"This course is designed to 
educate students about Food and Meat safety; food borne pathogens; hazard analysis 
critical control points (HACCP) and total quality management (TQM) practices. We will 
identify and evaluate potential human health problems from bacterial pathogens; Study 
the behavior of pathogenic bacteria (e.g., Escherichia coli O157:H7, non-O157 Shiga 
Toxin-producing E. coli, Listeria monocytogenes, Salmonella and campylobacter) in 
foods. We will also study how to reduce the incidence of foodborne illness by 
developing procedures, techniques, and effective interventions for pathogen reduction 
and control throughout the food chain; Study the molecular ecology and transmission 
dynamics of human food borne pathogens; Probe the molecular pathogenesis of human 
food borne diseases. Examine animal identification and traceability systems for 
prevention/control of spread of foreign animal diseases, foodborne pathogen outbreaks 
and agricultural/food bioterrorism.NoneNone"
ANSC 5331,Ruminant Nutrition,3,"Physiology and chemistry of digestion, 
absorption and metabolism of nutrients in ruminants; nutrient functions, requirements, 
utilization and the effects of nutrient deficiencies and toxicities. An emphasis will be 
placed on ruminant specific metabolism and the net energy system.NoneNone"
ANSC 5345,Advanced Ethics in Animal Science,3,"A deeper exploration of ethics 
and moral concepts applied to the animal industry. The course challenges critical 
thinking by addressing controversial topics in the animal science and agriculture 
industry.NoneNone"
ANSC 5403,Special Topics,4,"Advanced studies in current agricultural and natural 
resource sciences research. Topics assigned according to the experience, interest, and 
needs of the individual student. Registration approval by the ANSC chair. May be 
repeated under different subject matter titles.NoneNone"
ANSC 6301,Thesis Proposal,0,"Satisfactory completion of this course will result in 
an acceptable prospectus presented to the Graduate Committee.NoneNone"
