code,title,credit_hours,description
BIO 1105,Field Biology Central Texas,1,"BIO 1101-1106 are a series of mini-course field experiences to study the ecosystems of selected
areas of Texas; some courses require good physical conditioning due to strenuous hiking activity.
Field Biology may be repeated for credit under each separate number; the same number course
may not be repeated for credit. Up to three of these one-hour courses in any combination may be
used as a non-lab Natural Science within the core. These courses require a special course fee to
cover travel and special equipment. Fulfills one (1) credit hour of Experiential Learning

Prerequisites: Consent of instructor. Course Fee: $150

Corequisites: "
BIO 1106,Field Biology Guadalupe Mountains,1,"BIO 1101-1106 are a series of mini-course field experiences to study the ecosystems of selected
areas of Texas; some courses require good physical conditioning due to strenuous hiking activity.
Field Biology may be repeated for credit under each separate number; the same number course
may not be repeated for credit. Up to three of these one-hour courses in any combination may be
used as a non-lab Natural Science within the core. These courses require a special course fee to
cover travel and special equipment. Fulfills one (1) credit hour of Experiential Learning

Prerequisites: Consent of instructor. Course Fee: $150

Corequisites: "
BIO 1401,Principles of Biology,1,"General concepts of biology with emphasis on man in God's world. This course meets the core 
natural science requirement for non-science majors. Students should be co-enrolled in the 
laboratory part of the course, BIO 1401L.

Prerequisites: None. Course Fee (BIO 1401L): $45

Corequisites: "
BIO 1402,General Zoology,1,"The anatomy, physiology, behavior and ecology of major animal groups. Students should be co-
enrolled in the laboratory part of the course, BIO 1402L.

Prerequisites: None. Course Fee (BIO 1402L): $85

Corequisites: "
BIO 1403,Cellular and Molecular Biology,1,"Modern concepts of cellular functions at the molecular level. This course meets the core natural 
science requirement. Students should be co-enrolled in the laboratory part of the course, BIO 
1403L.

Prerequisites: Successful completion of CHE 1341 and 1141, or CHE 1431, with a grade of ‘C’ or higher.

Corequisites: "
BIO 2403,General Botany,2,"The structure, function, reproduction, taxonomy and ecology of plants. Students should be co-
enrolled in the laboratory part of the course, BIO 2403L.

Prerequisites: None. Course Fee (BIO 2403L): $75

Corequisites: "
BIO 2411,Anatomy & Physiology for Healthcare I,2,"Introduction to the study of human anatomy and physiology for healthcare majors. Begins with an 
overview of the chemical basis of life and reviews cellular structure, function and metabolism. 
Course continues with coverage of tissues and five systems (skin and the integumentary system, 
skeletal system including joints, muscular system, cardiovascular system, and respiratory system) 
and how they are interconnected, with a particular focus on health. This course may not be used to 
meet either prerequisites or requisites in majors from the School of Natural and Applied Sciences. 
Students should be co-enrolled in the laboratory part of the course, BIO 2411L.

Prerequisites: Completion of high school Biology and Chemistry or equivalent; preferred completion of

Corequisites: "
CHE 1341,and 1141. Course Fee (BIO 2411L): Varies by course modality.,1,"BIO 2412 Human Anatomy Physiology for Healthcare II 
A continuation of the study of human anatomy and physiology for healthcare majors. The course 
will cover the remaining six systems (nervous system including somatic and special senses, 
endocrine system, lymphatic system, digestive system, urinary system, and reproductive system) 
and how they are interconnected, with a particular focus on health. This course may not be used to 
meet either prerequisites or requisites in majors from the School of Natural and Applied Sciences. 
Students should be co-enrolled in the laboratory part of the course, BIO 2412L.

Prerequisites: Successful completion of BIO 2411 Human Anatomy and Physiology for Healthcare.

Corequisites: "
BIO 2413,Microbiology for Health Sciences,2,"The Microbiology for the Health Sciences class provides an overview of the microbial world. Topics 
include the basic characteristics of fungi protozoans, bacteria, and viruses. Special emphasis is 
placed on topics and applications that relate to human health. This course is intended as a 
prerequisite for entry into the nursing program. This course may not be used to meet either 
prerequisites or requisites in majors from the School of Natural and Applied Sciences.

Prerequisites: None; Anatomy & Physiology I or Cellular & Molecular Biology strongly suggested. Course

Corequisites: "
BIO 3302,Tropical Biology,3,"A study of the biology and ecology of tropical ecosystems that includes a substantial field 
component offered during a semester break or summer. This course also includes a study of 
environmental concerns and conservation efforts in tropical ecosystems. The field component 
requires extensive physical exertion and “roughing it.” Additional fee for course paid at time of 
registration.  Fulfills Experiential Learning requirement.

Prerequisites: Consent of the instructor

Corequisites: "
BIO 3303,Native Plants,3,"Identification, natural history, economic importance, and ecology of plants native to Central Texas.

Prerequisites: None

Corequisites: "
BIO 3310,Nutrition,3,"A study of the nutrients and other substances in foods and the body's handling of them. Nutrient 
requirements associated with various life stages and the impact of various disorders and diseases 
upon nutrition will also be explored.

Prerequisites: Completion of a college level laboratory science course

Corequisites: "
BIO 3350,Biopsychology,3,"An introduction to the structure and function of the nervous system and the relationship between 
psychological processes and the brain in humans and other animals. Cross-listed with PSY 3350.

Prerequisites: PSY 1311 or PSY 1311H. BIO 1403 and BIO 3412 strongly suggested

Corequisites: "
BIO 3370,Ecology of the Pacific Northwest,3,"A study of the unique wildlife, ecological relationships, and environmental concerns in a variety of 
aquatic and terrestrial habitats of the U.S. Pacific Northwest.  The course includes substantial 
 
 
independent work throughout the semester and culminates with a field experience typically held in 
Oregon, Washington, and California that requires substantial hiking, outdoor data collection, and 
journaling. Additional fee for course paid at time of registration. Fulfills Experiential Learning 
requirement.

Prerequisites: Consent of instructor

Corequisites: "
BIO 3401,General Microbiology,3,"The structure, physiology, culture, and control of bacteria and other microbes. Students should be 
co-enrolled in the laboratory part of the course, BIO 3401L.

Prerequisites: BIO 1403 with a grade of ‘C’ or higher. Course Fee (BIO 3401L): $85

Corequisites: "
BIO 3403,General Ecology,3,"A study of those factors which affect the abundance, biodiversity and distribution of organisms. 
Includes ecological theory, mathematical modeling, and natural history and field techniques. 
Students should be co-enrolled in the laboratory part of the course, BIO 3403L This course is cross-
listed with ESC 3403/ESC 3403L.

Prerequisites: BIO 1402 or BIO 2403 with a grade of ‘C’ or higher. Course Fee (BIO 3403L): $75

Corequisites: "
BIO 3404,Genetics,3,"An introduction to classical, molecular, developmental and population genetics with an emphasis 
on genetic analysis. Students should be co-enrolled in the laboratory part of the course, BIO 3404L.

Prerequisites: BIO 1401 or BIO 1403 with a grade of ‘C’ or higher. Course Fee (BIO 3404L): $75

Corequisites: "
BIO 3406,Animal Behavior,3,"An introduction to the study of animal behavior. Cross-listed with PSY 3406.

Prerequisites: Any Natural Science course with a grade of ‘C’ or above. Course Fee: $75

Corequisites: "
BIO 3411,Human Anatomy and Physiology I,3,"An introduction to the study of human anatomy and physiology. Beginning with a quick overview of 
the chemical basis of life and a review of cells and cellular metabolism. The remainder of the course 
will cover tissues and five systems (skin and the integumentary system, skeletal system including 
joints, muscular system, cardiovascular system, and respiratory system). Students should be co-
enrolled in the laboratory part of the course, BIO 3411L.

Prerequisites: BIO 1403 with a grade of ‘C’ or higher. Course Fee (BIO 3411L): $85

Corequisites: "
BIO 3412,Human Anatomy and Physiology II,3,"A continuation of the study of human anatomy and physiology. The course will cover the remaining 
six systems (nervous system including somatic and special senses, endocrine system, lymphatic 
system, digestive system, respiratory system, urinary system, and reproductive system) and related 
topics.  Note: Students who have already completed BIO 2401 Human Anatomy and Physiology are 
not allowed to take this course for credit unless approved by the Coordinator of the Biology 
Department. Students should be co-enrolled in the laboratory part of the course, BIO 3412L.

Prerequisites: BIO 3411 with a grade of ‘C’ or higher. Course Fee (BIO 3412L): $85

Corequisites: "
BIO 3420,Developmental Biology,3,"An introduction to both classical and modern developmental biology including molecular and 
genetic analysis of development. Students should be co-enrolled in the laboratory part of the 
 
 
course, BIO 3420L.

Prerequisites: BIO 1403 with a grade of ‘C’ or higher. Course Fee (BIO 3420L): $75

Corequisites: "
BIO 3430,Biochemistry,3,"An overview of the macromolecules and small molecules that are the key to all living systems.  
Topics covered include protein structure and function, enzyme mechanisms, kinetics and 
regulation, membrane structure and function, bioenergetics, hormone action, intermediary 
metabolism, including pathways and regulation of carbohydrate, lipid, amino acid, and nucleotide 
biosynthesis and breakdown. Students should be co-enrolled in the laboratory part of the course, 
BIO 3430L. This course is cross-listed with CHE 3430/CHE 3430L.

Prerequisites: BIO 1403 with a grade of ‘C’ or higher, and credit or concurrent enrollment in  CHE 2401.

Corequisites: "
BIO 4330,Exercise Physiology,4,"This class is a study of the physiological responses of the body to exercise. Emphasis is on the 
application of the physiological principles deemed most important for understanding physical 
training. Note: This course does not count for core physical education/wellness requirements.

Prerequisites: Grade of ‘C’ or higher in BIO 3411.

Corequisites: "
BIO 4410,Biological Science Research,4,"A research course in which students will work as a team to complete research in an area of the 
biological sciences as set forth by the instructor. Students will learn how to critically read scientific 
papers and interpret data. All aspects of proposal writing will be explored during this course. The 
course will culminate with presentation of the students and groups research findings in both oral 
and written formats. Fulfills Experiential Learning requirement.

Prerequisites: Biology majors with senior standing or by permission of instructor. Course Fee: $85

Corequisites: "
BADM 1303,Intro to Population Health,1,"This course introduces students to the study of population health and what it means to live a long 
and healthy life. It includes examining the factors that can influence health and wellness as well as 
the various fields all connected to health. The course is interdisciplinary. It covers a broad range of 
issues including health communication, environmental health, infectious diseases, social health, and 
how to improve your community as well as your own life. This is an exciting eye-opening course 
that any student interested in his/her well-being or the well-being of others can take. Cross-listed 
with PUBH 1303.

Prerequisites: None

Corequisites: "
BADM 1310,Intro to Business and Entrepreneurship,1,"This introductory course is designed to help students advance their knowledge of both business 
and entrepreneurship. This course helps students to develop their critical thinking skills in solving 
contemporary business issues. The course looks at various entrepreneurial ventures and business 
disciplines from a variety of perspectives to provide a foundation for business development. 
Students will be introduced to a variety of careers as well as practical and professional skills.

Prerequisites: None

Corequisites: "
BADM 2310,Global Business and Communication,2,"This course introduces the modern business enterprise with an emphasis on the interdependence of
the business functions in a global environment. Topics include the cross-border impacts of culture, 
communication, politics, and law on trade, investment, marketing, management, and accounting 
and financial systems.

Prerequisites: None

Corequisites: "
BADM 3311,Principles of Management,3,"Course is a survey of management philosophy, theories, and practices. Topics include management 
functions of planning, decision making, organizing, staffing, communicating, motivating, leading, 
and controlling. This course will also consider organizational behavior, international management 
and the global economy. This course has a writing component.

Prerequisites: None

Corequisites: "
BADM 3314,Essentials of Global Public Health,3,"Examines the main functions of public health; disease prevention and health promotion. Students 
will learn the history and philosophy of public health, its core values and functions across the globe 
and in society. Students will examine the factors that impact health and how productivity is 
influenced by health outcomes since prevention is more cost effective than cure. Students will learn 
about working in both clinical care settings as well as institutions that promote population health. 
Case studies will be used. Cross-listed with PUBH 3314.

Prerequisites: None

Corequisites: "
BADM 3315,Comparative Health Care Systems,3,"Examines the healthcare delivery system of the United States, its fundamental characteristics and 
organization as well as differences in the healthcare systems of other countries. Students will learn 
about the various agencies involved in health and access to healthcare will be reviewed. Students 
will have a better understanding of the composition of health workers in the United States and other 
countries. Innovative technologies and best practices will be studied. Cross-listed with PUBH 3315.

Prerequisites: None

Corequisites: "
BADM 3321,Business Law,3,"Background and role of law in business and society. Specific commercial law topics addressed 
include Uniform Commercial Code, business torts, property, contract sales, debit/creditor relations, 
and agency.

Prerequisites: None

Corequisites: "
BADM 3323,"Globalization, Trade and Health Policy",3,"Examines the increasing interdependence of the world with greater connectivity affecting the speed 
of access to information. Key focus will be on the dimensions of globalization including trade in 
food, pharmaceutical products, tobacco as well as healthcare personnel and the shift in patterns of 
disease. Case studies will be used. Cross-listed with PUBH 3323.

Prerequisites: None

Corequisites: "
BADM 3330,Project Management,3,"This course emphasizes Project Management skills involved in work planning, control and 
evaluation to achieve objectives for both simple and complex projects. The course will give 
students hands-on experience project planning, participating and running their own project.

Prerequisites: BADM 3311

Corequisites: "
BADM 3335,Data Analytics,3,"This course covers data management, exploratory data analysis and visualization, descriptive 
statistics, and inferential statistics. T-tests, ANOVA, Chi-Square tests, simple regression, multiple 
regression, interaction/moderation, confounding, and logistic regression are all covered at a pace 
that assumes some previous knowledge of statistics. All of the topics will be addressed through a 
student selected research question that can be answered using a large dataset. A statistical 
programming language (R, SAS, or SPSS depending on the instructor) will be used, along with 
Zotero and GitHub for document and code management.

Prerequisites: MTH 2301, or another introductory statistics course

Corequisites: "
BADM 3340,Human Resource Management,3,"An introduction to human resource management. Topics include employment, placement and 
personnel planning, training and development, compensation and benefits, health, safety and 
security; employee and labor relations. This course has a writing component.

Prerequisites: None

Corequisites: "
BADM 3341,Training and Development,3,"This course explores methods utilized to train and develop employees in ways that positively affect 
organizational outcomes and success.

Prerequisites: BADM 3340

Corequisites: "
BADM 3350,Principles of Marketing,3,"Practices and market structure, marketing functions and strategies, institutions, pricing, demand 
creation, industrial and consumer, costs and marketing legislation. This course has a writing 
component.

Prerequisites: None

Corequisites: "
BADM 3351,Selling and Sales Management,3,"Professional selling principles and practices for industrial and consumer goods. Includes 
identification and qualification of customers, developing and delivering high quality presentations, 
persuasive theories and techniques, ethics of selling, and pre/post sales services. Policy matters, 
product planning, distribution policies and pricing, sales promotion, organization and management 
of territories and the sales force, control of sales operation.

Prerequisites: None

Corequisites: "
BADM 3352,Integrated Mkt. Communications,3,"This course studies all elements of promotion and integrated marketing communications. Students 
gain knowledge of the major promotion and communication tools organizations use, how 
promotion is planned, budgeted, and used in the marketing program, and how to analyze 
promotion alternatives as they relate to the organization's marketing objectives and market 
 
 
segments served.

Prerequisites: None.

Corequisites: "
BADM 3353,Consumer Behavior,3,"This course focuses on the analysis and interpretation of the behavior of individuals as buyers and 
consumers of goods and services. Students will learn to evaluate and interpret the psychological, 
economic, and socio-cultural factors and trends that influence purchase and consumption of goods 
and services.

Prerequisites: None.

Corequisites: "
BADM 3354,Entrepreneurship,3,"The Entrepreneurship course introduces the tools, skills, and judgment needed for a long and 
meaningful life as an entrepreneur. The course considers evaluating opportunities, launching a 
business, growing the business, and finally harvesting the profits. Students will stand in the shoes of 
an entrepreneur and make tough decisions, squeezed by the demands of your customers on one 
side (customers) and the need to make and deliver your product cheaply enough (operations) on 
the other. The course will focus on businesses that, with vision, hard work and luck can be 
developed into substantial enterprises. This course will focus on entrepreneurs, on business plans 
and on businesses that are appropriate for sophisticated angel and/or professional (especially 
venture capital) investors.

Prerequisites: BADM 3360

Corequisites: "
BADM 3360,Finance,3,"The course provides a working knowledge of the tools and analytical conventions used in 
managerial finance. The emphasis is on establishing an understanding of the basic elements of 
financial theory to be used in the application of analytical reasoning to finance problems. This class 
is designed for the general business student, but is a sufficiently rigorous introduction to this 
material that it is also suitable for students who are considering additional study in either Finance or 
Accounting.

Prerequisites: ACC 2301 (or an equivalent statistics class)

Corequisites: "
BADM 3361,"Money, Banking, and Credit",3,"The course will cover the role of financial markets in the economy; the determination of interest 
rates; the role of financial intermediaries and financial intermediation; the role of the central bank in 
monetary policy; and the macroeconomics of monetary policy and interest rates.

Prerequisites: BADM 3360

Corequisites: "
BADM 3371,Management Information Systems,3,"Course provides students with a fundamental understanding of information technology in 
contemporary business environments and presents core MIS principles with which every business 
student should be familiar. Students will also study real cases that are associated with IS 
applications in order to understand the issues in IS disciplines and the changing role of the IS 
professional.

Prerequisites: None

Corequisites: "
BADM 3372,Digital and Social Media Marketing,3,"Designed to give students a high-level strategic perspective of how digital media is used to achieve 
business objectives, as well as practical hands-on experience creating and managing digital 
marketing campaigns. All marketers are increasing their digital media spending -- creating demand 
for students entering the workforce with digital media skills. By the end of the course, students will 
be able to walk into any company with an online presence and improve their use of the internet

Prerequisites: BADM 3350

Corequisites: "
BADM 3375,Negotiations and Conflict Management,3,"The Negotiations course introduces students to the theory and practice of negotiation specific to 
business. Negotiation is the art and science of securing agreement between two or more 
independent parties. The course focuses on understanding the behavior of individuals, groups, 
cultures, and organizations in the context of competitive situations. Students will develop analytical 
and interpersonal skills necessary for successful negotiations. Business relevant cases and situations 
will be used.

Prerequisites: None

Corequisites: "
BADM 3380,Production and Ops. Management,3,"The course includes the strategic, tactical, and operational issues that arise in management of 
production and service operations; product and process design, facilities planning, quality 
management, materials management, operations planning and scheduling, and emerging 
technologies in production and service management.

Prerequisites: None

Corequisites: "
BADM 3398,Nat’l/International Travel,3,"A travel course to immerse the student in real-world contexts where students can observe and 
analyze communication practices in various settings.

Prerequisites: Consent of Instructor. Course Fee: Varies by travel course.

Corequisites: "
BADM 4302,Global Public Health Practicum,4,"Students will be engaged in practicums in organizations in the United States with a health focus 
(healthcare delivery or population health); or organizations that are regional or international in 
scope that promote global health. In the future opportunities for practicums will be created for 
practical experiences working in other countries and in select international organizations (public 
and private). Fulfills experiential learning requirement. Cross-listed with PUBH 4302.

Prerequisites: Junior or Senior level status and completion of lower-level BBA requirements.

Corequisites: "
BADM 4310,Business Internship,4,"Students are expected to graduate in the calendar year that this course is completed. Provides 
students with job searching skills, on-the-job experience and training related to academic education 
and long-term goals. May be repeated once for credit as an elective, but only three credit hours will 
count toward any Business Management major. An upper-level course for business majors only; 
graded on a pass/no pass basis. Students must meet all of the internship requirements during the 
semester in which they are enrolled in the internship. Students may enroll in this course any time 
during the semester prior to the “last day to withdraw from a class with a W” as published in the 
 
 
official academic calendar. Fulfills experiential learning requirement.

Prerequisites: BADM 3311

Corequisites: "
BADM 4310P,Business PEP Internship,4,"The Business Present Experience Internship course offers seasoned professionals, C-Suite 
professionals, and business owners who are advanced in their career an alternative course to the 
traditional internship course and model. Students approved for the course are presently working 
and are not a good fit for the traditional internship experience. Advanced-career working adults can 
apply for this option and complete it at their own pace over the semester while using their present 
job to satisfy both experiential learning credit and the degree internship requirement. The course 
involves a 360 evaluation process and reflection upon past and current career trajectory. Eligibility 
and academic approval required.

Prerequisites: Eligibility and academic approval.

Corequisites: "
BADM 4312,Strategic Management,4,"This course provides student with advanced level learning and critical thinking skills in the areas of 
strategic planning, implementation and control. Integrated learning will take place using the various 
business disciplines, applying a general management point of view. An overview of historical 
thought in strategic management will provide a basis for students to think about and form their own 
theories and management styles. Students will apply their learning through case studies and class 
projects.

Prerequisites: BADM 3311

Corequisites: "
BADM 4319,Immigration Violence Disasters and Health,4,"Issues that impact vulnerable populations in the United States and other countries including the 
socioeconomic, behavioral, biological, environmental and other factors that impact human health 
and contribute to health disparities. Immigration, the impact of violence, natural and man-made 
disasters, terrorism and the organizations that respond to these issues will be examined. Cross-
listed with PUBH 4319.

Prerequisites: None

Corequisites: "
BADM 4321,"Public Health Organizations, Ethics, and Law",4,"Examines public health organizations that are local, national and international in focus, how they 
operate and the role they play in promoting health and preventing disease as well as those 
organizations not typically associated with health such as the United Nations, World Trade 
Organization, the Bill and Melinda Gates Foundation and Dell. Cross-listed as PUBH 4321.

Prerequisites: Junior or Senior level standing

Corequisites: "
BADM 4300,Marketing Capstone,4,"This course is an integration of all marketing elements in a strategic marketing framework. The 
course will provide practical knowledge regarding marketing strategy from planning, formulating, 
and executing strategic marketing campaigns. The topics covered in this course include strategic 
marketing planning, marketing ethics, marketing research, competitive advantage, segmentation, 
branding, positioning, marketing mix (4 Ps), marketing implementation, and customer loyalty.

Prerequisites: BADM 3350

Corequisites: "
BADM 4331,Organizational Behavior and Development,4,"Most organizations focus their efforts on improving two aspects of human behavior: (1) job 
performance—the degree to which individuals perform the behaviors needed for the organization 
to achieve its goals; and (2) organizational commitment—the degree to which employees remain 
loyal to the organization rather than seeking employment elsewhere. This course will guide you 
through a model that seeks to explain these two areas of organizational behavior, while 
interweaving and maintaining a fixed view on developing the organization as a whole.

Prerequisites: BADM 3340

Corequisites: "
BADM 4333,Market Research,4,"This course will provide an introduction to market research as a business decision-making tool. 
Students will learn how market research can help them understand consumer attitudes and 
preferences to make business decisions and how to transform research findings into actionable 
business recommendations. Students will learn essential skills including: determining research 
design, techniques for conducting interviews, quantitative questionnaire design, sampling 
procedure and statistical projections, data analysis, and dashboard visualizations. Students will 
work with a real-world client on a research project including defining the business problem, develop 
a research plan, collect and analyze data and present findings and implications.

Prerequisites: BADM 3350

Corequisites: "
BADM 4341,Human Resource Mgmt Internship,4,"Focuses on providing students with meaningful work experiences in Human Resource Management 
(HRM) similar to those which are normally found in organizations. Emphasis of the internship 
program is to provide interns an exposure to a wide variety of opportunities including as much 
‘hands-on” experience as possible. Students are expected to graduate in the calendar year that this 
course is completed. Incompletes are not allowed in this course. Students may enroll in this course 
any time during the semester prior to the “last day to withdraw from a class with a W” as published 
in the official academic calendar. The course may be repeated once for credit as an elective, but 
only three credit hours will count toward any Business Management major. Fulfills experiential 
learning requirement.

Prerequisites: BADM 3340

Corequisites: "
BADM 4351,Advertising Management,4,"Through projects and texts, students will develop an understanding of the creation of effective 
advertising, media planning and budgeting, and advertising strategy as it relates to the overall 
marketing mix and strategic plan of the organization, with special emphasis on advanced 
copywriting and layout, for print and broadcast media. Cross listed with COM 4351

Prerequisites: BADM 3350

Corequisites: "
