code,title,credits,description
ART 2303,Painting I,0,"Application of methods and techniques of still-life painting, correlation of media and approaches to mixed media. (ARTS 2316)"
ART 2304,Painting II,0,
ART 2301,Figure Drawing I,0,Introduces students to figure drawing and develops skill in perceiving the human figure as form and volume in live models and mannequins. Various media and techniques are used.
ART 1311,Introduction to Digital Photography,1,"Introduction to Digital Photography trains students to use a digital camera and industry standard digital editing software equipment. Students of photography are introduced to the aesthetics of composition, ways of understanding content, and the history of photography. Students learn photographic techniques and camera fundamentals using digital cameras, uses of scanning and the internet in photography, and post-photograph production using digital imaging software."
ART 2302,Computer Graphic Design II,0,"Students learn about the extensive scope of computer graphics by applying basic principles in art and design. Students will develop skills in symmetry and pattern, as they solve fundamental design problems and create images with drawing software."
ART 1310,Introduction to Visual Arts,1,"An introduction to the visual arts. The visual elements of artworks are defined and students are introduced to the vocabulary, principles and techniques of art in different periods and cultural settings. Includes individual art projects and tours. This course satisfies the Fine Arts component of the Texas Core Curriculum. (ARTS 1301)"
ART 1307,Computer Graphic Design,0,Introduction to the basic operational skills of the computer and the development of creative techniques in two-dimensional design.
ART 1305,Drawing I,0,"Representation drawing with consideration of perspective, light and shade; use of charcoal, pencil, conte, pen and wash. (ARTS 1316)"
ART 1308,Art History: Introduction to World Art,0,"Introduction to World Art is a survey of selected historical Asian, African, Islamic, North, South and Mesoamerican monuments of art and architecture. This course provides a framework for understanding and analyzing the art and architecture created by cultures outside of traditional West European models, and examines objects and monuments within their cultural religious, social, economic, and/or political contexts."
ART 1306,Drawing II,0,"A continuation of representation drawing, with a consideration of perspective, light and shade; practice using charcoal, pencil, conte, pen and wash. (ARTS 1317)"
ART 1303,Design and Materials,0,Analysis of fundamental principles and elements in two-and three-dimensional design. Work with various materials and colors in relation to space and movement. (ARTS 1311)
ART 1304,Design Color and Structure,0,A continuation of the study of fundamental principles and elements in two- and three-dimensional design. (ARTS 1312)
ART 1302,History of Art: Renaissance to Present,0,"An introduction to monuments of art from the Renaissance to contemporary times. The course analyzes the variety of contexts and circumstances under which works of art were created, and explores the similarities and differences between artistic periods. This course satisfies the Creative Arts component of the Texas Core Curriculum. (ARTS 1304)"
ART 1301,History of Art: Paleolithic to the Middle Ages,0,"An introduction to monuments of art from prehistoric times to c. 1400 AD. The course analyzes the variety of contexts and circumstances under which works of art were created, and explores the similarities and differences between artistic periods. This course satisfies the Fine Arts component of the Texas Core Curriculum. (ARTS 1303)"
ARAB 1402,Elementary Arabic II,4,
BA 3309,Real Estate Law,9,"A study of the application of the law in real estate interests, conveyance of title, contracts of sale, title searches, types of ownership, liens and mortgages, insurance, leases and taxation of property owners."
BA 3306,Intrapreneurship,6,Both entrepreneurial and traditional business organizations seek employees with initiative and an innovative approach. Emphasis on understanding the perspective of the chief executive officer and supporting his/her objectives efficiently. This course is designed to add knowledge and promote one’s advancement within a business organization by being a more useful and productive employee.
BA 3305,Entrepreneurship,5,"This course teaches students what will be involved in launching and operating a new venture. Using a combination of experiential exercises and case studies, students develop a hands-on understanding of the difficulties associated with launching new ventures."
BA 3308,Business Ethics,8,"This course is an introduction to ethical decision making in business. Individual, organizational, and macro level issues in business ethics are examined. The course is designed to assist students in making more informed ethical decisions on a daily basis. Both descriptive and normative models of unethical and ethical decision making in business are analyzed. Core ethical values including integrity, objectivity, independence, due care as well as honesty and responsibility are discussed. Dilemmas and real-life situations provide an opportunity for students to apply concepts when resolving ethical issues. Critical thinking and informed decision making are emphasized."
BA 3304,International Business and Law,4,"An introduction to diverse legal influences which affect international business transactions. Topics include: international law and organizations, bilateral and multilateral trade agreements, governmental policies, competition, property rights, contracts relating to import/ export, and dispute resolution."
BA 3302,Commercial Law,2,", including laws governing sales, credit transactions, bankruptcy, negotiable instruments, corporations, partnerships, and property. The emphasis of this course is commercial law and business."
BA 3303,Global Environmental Issues in Business,3,"Contemporary domestic and international environmental issues with emphasis on the legal framework within which these issues are addressed to provide an understanding of the associated business risks relating to these issues. Applicable federal and state regulations, their enforcement and effects on business will be covered. Consequences of noncompliance such as civil and criminal prosecution and tort liability will also be studied."
BA 1301,Introduction to Business,1,"This course is a survey of business topics, including management, leadership, decision-making, accounting, finance, international business, and ethics. Students will also develop a career plan and learn effective employer outreach strategies. (BUSI 1301)"
BA 3301,Legal Environment of Business,1,"An introduction to business law, with special emphasis on the legal and ethical environment of business, both domestic and international. Topics include a description of the American legal system, crimes, torts, contracts, agency, and legal liability, business organizations, and governmental regulations."
BA 3300,Business Cornerstone,0,"This course is an introductory course for all business majors. The topics include critical thinking, team development, diversity, business ethics and career development. The critical thinking component introduces the concepts and techniques of critical thinking. The team development component focuses on the importance and role of teams in business, and the role of diversity in business settings. The ethics component introduces the basic ethical concepts, principles, and techniques of moral reasoning needed in business. The career development component focuses on strategies and decision-making skills for moving oneself toward implementation of career goals."
BIOL 4399,Senior Honors Thesis,3,"A research project, supervised by a member of the natural sciences faculty or a scientist at an affiliated research institution or laboratory. The completed research project must be presented in both written and oral form to the science faculty. No more than six hours credit for this course may be applied toward a degree."
BIOL 4390,Special Topics in Biology,3,
BIOL 4380,Field Experience in Biology,3,"Field experience integrates theory learned in biology classes with practical laboratory or field experience. Students are placed in laboratories, clinical settings, or under the tutelage of a field researcher. A summary oral and written report must be presented to the Natural Sciences faculty."
BIOL 4350,Social Biology,3,"This discussion-format course is intended to bring together ideas and students from the disciplines of biology, psychology, sociology and anthropology. Its focus is on the area of animal behavior that involves the interaction of conspecifics. Topics to be discussed include aggression, courtship, parental behavior, altruism, behavior genetics, dominance, competition and cooperation, and behavioral ecology."
BIOL 4360,Environmental Biology,3,"Ecological principles and current topics regarding the interrelationships among organisms and their environments, including analysis of human activities that impact natural ecosystems and cause environmental problems."
BIOL 4344,Principles of Pharmacology and Toxicology,3,"Introduction to fundamental principles in pharmacology and toxicology. This course will highlight common molecular mechanisms of drug/toxin action, provide an ethical perspective on controlled research and experimental design, and provide students entering the chemical or medical industries an appreciation of modern drug design, industrial applications, clinical trials, and regulations imposed on the chemical industry to control public and private exposures."
BIOL 4340,Animal Behavior,3,"Behavioral capacities of the animal kingdom, with emphasis on methods of study, instinctive behavior, the biological basis of behavior, learning and intelligence and social behavior."
BIOL 4325,Advanced Microscopy,3,"Instrumentation principles and laboratory exercises associated with the applications of a variety of microscopes and associated techniques, including preparation of samples, light microscopy (bright-field, darkfield, phase-contrast, polarized and fluorescent), scanning electron microscopy, transmission electron microscopy, and X-ray microanalysis."
BIOL 4320,Cellular Biology,3,"The composition, structure, functions and dynamics of cells. Topics include interrelations of organelles, molecular transport and membrane trafficking, cytoskeletal interactions, nucleocytoplasmic relationships, intra- and intercellular communications, mechanisms of cellular death and laboratory analysis."
BIOL 4311,Biology Seminar,3,Presentations and discussions related to recent research accomplishments in biology and biotechnology including student research presentations.
BIOL 4330,Molecular Biology,3,"Introduction to the molecular aspects of gene regulation in eukaryotic cells. Eukaryotic gene regulation is explored in the context of cell cycle regulation, cell differentiation, and cancer. The course emphasizes study of the primary research literature and the creation and testing of hypotheses using current technology."
BIOL 4313,Parasitology,3,"Introduction to parasitism as a biological concept and a survey of specific parasites of medical and veterinary importance. Additional topics include the relationship of opportunistic parasites in the treatment of AIDS, immunodiagnosis and the status of vaccine development for parasitic diseases."
COMM 3399,Directed Study in Communication,3,Selected topics in the field; intensive individual study under the guidance of a member of the faculty.
COMM 3348,Government Communication,3,"A study of effective government communication in the United States. The course explores elements of crisis communication and public affairs campaigns as they apply to the work of local, state, and federal governments."
BIOL 4310,Histology,3,"A comprehensive overview of the microscopic and submicroscopic anatomy of the vertebrate body, with emphasis on humans. Special topics include histochemistry, tissue culture and pathophysiology."
BIOL 4305,Physiological Ecology of Vertebrates,3,"Focus on mechanisms used by vertebrates to adapt to their natural habitats. Topics include the relationship between evolution and adaptation, nature and levels of adaptation, mechanisms of adaptation and the major adaptations of selected vertebrates. Emphasis on adaptation to extreme environments."
BIOL 4303,Human Genetics,3,"A study of inherited traits in humans with emphasis on the mapping of the human genome, molecular mechanisms of disease, karyotyping and chromosomal abnormalities, genetic testing, gene therapy, and ethical issues associated with human genetics."
COMM 3345,Rhetorical Criticism,3,"This course explores the models and methods available to the public communicator. Students will understand how situations and texts work rhetorically and how each method contributes to dynamic understandings of social phenomena, including, but not limited to, famous and lesser-known speeches, monuments and public art, and social and mass media. Through an introduction to a wide range of rhetorical methods, students will engage their own roles as creators and consumers of messages. This class can be taught from multiple perspectives so students may take the course more than once. For example, students can take a course in feminist rhetorical criticism, modern rhetorical criticism, public memory and rhetorical criticism, or a general survey of rhetorical criticism."
COMM 3340,Communication and Leadership,3,"Leadership is the process in which as individual influences a group of individuals to achieve a common goal through a number of strategies, including communication. This course bridges the gap between popular approaches and theoretical approaches to leadership in real world organizations. In addition to learning various leadership approaches and theories, students will also study communication behaviors of successful leaders, women and leadership, culture and leadership, and leadership ethics."
BIOL 4301,Evolution of the Earth and its Inhabitants,3,Analysis of the concepts and discoveries that led Darwin to propose his theory of natural selection to explain evolution and the subsequent lines of evidence in both geology and biology that substantiate his ideas and unify our understanding of the relationships of various organisms to each other. Specific groups of organisms will be discussed in relation to morphological changes through time as well as adaptations that may occur due to environmental changes and other variables.
COMM 3330,Nonverbal Communication,3,"Addresses how we communicate other than through the use of words. Topics will include body language (kinesics), use of space (proxemics), touch (haptics), and vocal variety."
COMM 3335,Rhetorical Theory,3,"This course offers a historical approach to the study of public communication and rhetoric. Considering communication’s roots in the rhetorical tradition, the class surveys classical, modern, and contemporary theories. Each individual approach is relevant for students seeking to improve their communication knowledge and competence. The class engages both the continuities and ever-changing nature of communication, constraints, and technologies. This class can be taught from multiple perspectives so students may take the course more than once. For example, students can take a course in classical theory, contemporary theory, feminist theory, or a general survey of rhetorical theory."
COMM 3328,Communication and Intimacy,3,"This course reflects trends in theory and practice in developing an understanding of the framework of communication as it relates to intimate relationships including marriage and its alternatives. Communication issues covered include marriage and its alternatives, self-disclosure, intimacy, trust, commitment, roles, power distribution, decision making, sources of conflict and conflict management, and alternative lifestyles."
COMM 3323,Communication in Healthcare Organizations,3,"This course examines the role of communication in healthcare organizations. Students are exposed to the practical application of health communication in the management of healthcare organizations and systems, including decision-making, quality control, strategic planning, the utilization of technology, marketing, and the ethical and legal issues impacting healthcare system management."
COMM 3325,Rhetoric and Public Address,3,"Theory and practice of public address. Students will explore audience analysis, credibility, persuasion theory, and methods of rhetorical movements."
COMM 3321,Patient-Provider Communication,3,"This course explores the theories, issues, and practical applications of health communication in interpersonal healthcare contexts. Topics of study include shared decision-making, cultural competency in healthcare, health literacy, patient advocacy, risk communication and patient education."
COMM 3320,Communication Theory,3,This course focuses on theories of communication that help students to understand the issues affecting the field today. These theories help students understand people’s daily interactions in various contexts.
COMM 3319,Communication in Conflict,3,"Examines human conflict and resolution in interpersonal, organizational, and international contexts from a communications perspective. Students will explore theories of conflict, understand the communication skills involved in reducing conflict, and practice various strategies of conflict resolution."
COMM 3316,"Sex, Love, and Romance in the Mass Media",3,"This course will challenge unrealistic portrayals of sex, love, and romance presented by the mass media through an examination of myths, stereotypes, cognitive behavioral models, and mass media effects."
COMM 3318,Facilitating Public Deliberation,3,"This course emphasizes theory and practice in moderating and recording public forums in a variety of civic settings. Deliberation is an approach to politics in which citizens, not just experts or politicians, are involved in public decision-making and community problem solving. Working with trained facilitators who utilize a wide variety of specific deliberative techniques, citizens come together and consider relevant facts from multiple points of view; converse with one another to think critically about the various options before them; enlarge their perspectives, opinions, and understandings; and ultimately seek to come to some conclusion for action in the form of a reasoned public judgment."
COMM 3314,Research in Communication Studies,3,"This course will provide students with a research vocabulary and will teach them to evaluate research. Quantitative, qualitative, and critical paradigms will be examined. Students will conduct original research."
COMM 3312,Advanced Presentation Concepts,3,"This course deals with writing professionally for presentations in business, media, and industry, including speechwriting, video-scripting, communication, and slide and multimedia presentations."
COMM 3315,Small Group Communication,3,"This course will provide students with a comprehensive knowledge of small group communication theories and processes. Students will gain the ability to apply conceptual ideas about effective group practices to practical communication situations such as leadership, decision-making, conflict management, and teamwork. By bridging theoretical readings and discussions with application-based group projects, students will have the opportunity to practice and refine their own understanding of small group communication."
COMM 3311,Advanced Media Studies,3,"This course will study broadcast and print media and techniques with an emphasis on communication writing skills for newspapers, magazines, television, and radio."
COMM 3317,Film Analysis,3,. Credit may not be earned for both. May be repeated twice for credit if course titles and descriptions differ and content is relevant to concentration.
COMM 3313,"Race, Ethnicity and Communication",3,"he inextricable and multidimensional relationship between race and communication. Students will understand how to transcend race using communication capital as a means of developing effective interactions. Specific attention to the construction of one’s own racial/ethnic identity as well as those of other groups. Part I of the course will cover various foundations of interracial communication including topics such as language, identity, history, cultural influences, and theories. Part II will draw from this foundation and discuss interracial communication in a number of contexts such as in relationships, organizations, and the mass media."
CS 1105,Technology for Education Lab,5,An introduction to authorware systems and presentation software for the development of interactive teaching materials and classroom presentations. Examples of computer-based instruction and tutoring systems will be discussed. The use of CS-ROM multimedia teaching materials will be introduced.
CJ 4317,Child Abuse and Neglect,7,"This course examines the etiology of Child Maltreatment (abuse and neglect) and how these issues are legally and socially addressed in the United States. In particular, the course focuses on these issues from the perspectives of law enforcement, child protective services, court personnel, and professions interested in prevention and education."
CJ 4370,Senior Seminar in Criminal Justice,0,This is a capstone course for criminal justice majors. It facilitates critical examination by the student of contemporary criminal justice issues and topics. Particular emphasis is placed on the application of theoretical and ethical frameworks in a variety of decision-making contexts in criminal justice. Ancillary foci of the course are student writing and appropriate use of citation. This is a writing intensive course that adheres to the department policy on writing intensive coursework.
CJ 4316,Human Trafficking,6,"This course provides an overview of the phenomenon of human trafficking as defined by relevant international and national statements, protocol, and legislation, with an emphasis on understanding the experiences and needs of trafficking victims and the methods of operations of traffickers and their networks. The course examines various forms of human trafficking victimization including sex trafficking, forced labor, bonded labor and domestic servitude in American and international contexts."
CJ 4313,International Criminal Justice,3,Examines and analyzes the structure and operation of various criminal justice systems from an international perspective.
CJ 4314,Women and the Criminal Justice System,4,"Provides an in-depth look at women’s participation in three areas of criminal justice-as offenders, as victims and as criminal justice professionals."
CJ 4318,Hate Crimes,8,"This course provides overview and discussion of the history of bias-motivated violence in the U.S., the development of modern hate crime laws, theories of offending, impacts of victimization, legal and social responses, international views, and prevention efforts."
CJ 4312,Research Topics,2,This course provides a unique opportunity for the criminal justice major to conduct in-depth research into an area of the student’s field of interest. A major paper is required.
CJ 4311,Security Management,1,"The organization, administration and management of the security function are examined from the perspective of efficiency and effectiveness. This course surveys organizations in business, industry and government. Particular emphasis is placed upon policy and decision-making, training, personnel development and budgeting."
CJ 4309,Media and Crime,9,"This course examines the relationship of media to the criminal justice system. The contribution of media, including news, entertainment, and film, to the social construction of crime and the justice system is the principle focus. It considers the impact of media on audience perceptions."
CJ 4305,Evidence-Based Corrections,5,"This course introduces students to evidence based correctional practices. The course examines theories, methods, and techniques related to successful offender rehabilitation."
CJ 4307,Legal Aspects of Corrections,7,"A comprehensive analysis of the legal rights of prisoners, probationers and parolees derived from case law, statutes and constitutional principles on both state and federal levels."
CJ 4306,Domestic Terrorism,6,"This course will examine the development, organization and activities of the various groups that have been labeled as threats to state and national security. Special attention will be given to their disproportionate impact on the American Criminal Justice System."
CJ 4304,White Collar Crime,4,"A comprehensive examination of the nature, extent and consequences of white-collar crime. Emphasis on explanation from the criminological perspective and sanctioning from a multicultural perspective."
CJ 4303,"Vice, Drugs and the Law",3,"The historical, philosophical and legal aspects of vice activities and drugs are examined. An analysis is made of the reactions of the police and society to victimless crime. The classification, description and extent of the drug problem are surveyed."
CJ 4301,Criminal Justice Administration,1,"This course examines historical and contemporary issues in administration of criminal justice agencies. Topics include the application of administrative methods and theories to police, courts, and correctional agencies."
CJ 4302,Organized Crime,2,"A historical survey is made of organized crime including basic knowledge of the organizational function and structure of crime. Societal factors, preventive techniques and control systems are stressed."
CJ 3321,Death Investigations,1,"The course examines the topic of death investigations. Its focus is on death investigations from historical, legal, administrative and operational perspectives. The course highlights both the theoretical and practical aspects that underlie cause of death determination, as well as the roles of different actual and peripheral criminal justice personnel in death investigations."
CJ 3319,Legal Research,9,"Study of the principles of legal problem solving using research materials available in a law library. Students will be introduced to various legal texts, Shepard’s citations, statutes [PE1], case reporters. Assignments involve practical research applications."
CJ 3318,Sex Crimes,8,"Examines historical development of laws and policies and current issues surrounding sex offenses and offenders in the U.S. Focus is on social and legal responses to sex offenders and ongoing policy debates. Topics include the etiology of sexual violence, recidivism, risk assessment, treatment and rehabilitation."
CJ 3317,Race and Crime,7,"Examines impact of race on victimization, criminal behavior and type and seriousness of legal sanctions. Emphasis is given to disproportionate representation of minorities in the criminal justice system."
CJ 3322,"The Constitution, Law, and Policing",2,"An examination of the implications of constitutional amendments on the behavior of policing professionals and agencies that perform crime detection and investigation functions. The course also explores legislation and case law that address legal liabilities of the police, police agencies, and local municipalities. Specific emphasis is placed on case law from the U.S. Supreme Court and the federal Civil Rights Act Section 1983, but the course may also address Texas state case law and legislation."
CJ 3316,Victimology,6,Examines the role of the victim in the criminal process. Emphasis is given to victims’ rights and responsibilities.
CJ 3320,Statistics in Criminal Justice,0,"Introduction to data analysis in criminal justice. Emphasis will be placed on the application of quantitative measures to the study of the prevention, interdiction and suppression of criminal behavior. The course will examine both descriptive and inferential statistics. In addition, students will be introduced to data analysis through the use of statistical computer software."
CJ 3313,Community-Based Corrections,3,"The history, philosophy and legal authority of community correctional alternatives is presented. Community corrections include probation, parole, fines, diversion, restitution, community treatment centers, work/study release centers and halfway houses."
CJ 3312,Prisons in America,2,"This course is a comprehensive examination of the history, philosophy and management of prisons. The effectiveness of jails and prisons for the purposes of retribution, incapacitation, deterrence and rehabilitation is evaluated."
ENG 1300,Fundamentals of English: Integrated Reading & Writing,0,"Prerequisite(s): Placement by examination. Corequisite(s): A TSIA2 score that does not meet college readiness in Reading and Writing, and co-enrollment in ENG 1301. Successful completion of ENG 1301 (with a C or better) will satisfy the TSI requirements for developmental reading and writing. For current TSIA2 College Readiness scores, please see"
ENG 1201,Writing Success Lab,0,". Tutoring is provided by Writing Center tutors. Activities are structured around course homework and additional specially designed group or laboratory activities. Additional topics may include study skills, time management, goal setting, and test taking skills."
ENG 1101,Tutorial for English Composition,0,Individualized instruction in English composition. The instructor-tutor designs a course of study to assist the student in learning new skills and/or overcoming specific problems that impede academic success. This course fulfills no English composition degree requirement and is offered on a pass/fail basis.
ENG 1105,Upper-Division Writing Tutorial,0,Individualized instruction for upper-division students in all disciplines who continue to have problems with some aspects of writing and who seek to improve their mastery in particular areas. The instructor-tutor designs a course of study to assist the student in learning new skills or overcoming specific errors. This course fulfills no English composition degree requirement or writing-intensive requirement and is offered on a pass/fail basis.
EM 4350,Hydrocarbon Marketing: From the Wellhead to the Consumer,0,"Examines upstream, downstream and midstream marketing opportunities. Topics include fractionating and refining, transportation differentials, premiums, discounts and penalties. Regulatory and marketing issues for integrated companies."
EM 4310,Energy Transactions and Practical Solutions - Case Study,0,"Case study of actual and hypothetical transactions in the energy industry. Deals with all facets of decision making including analysis of predicted returns, synergies, cost reduction, risk profiling, cultural ramifications of acquisition and divestiture, long-term vs. short-term implications of transactions and their effects on stakeholders."
EM 3399,Directed Study in Energy Management,9,
EED 4320,Advanced Processes for Teaching Writing in the Middle Grades,2,This field-based course is designed to provide prospective teachers with the understanding that writing is a developmental process. Instructional tools that help late elementary and middle school age children develop competence in written communication are addressed.
EM 3301,Introduction to the Petroleum Industry,1,"Overview of the petroleum industry including industry structure, vocations within the industry, basic exploration and production concepts, regulatory issues, and current events and status of the industry."
EED 4303,Student Teaching in the Bilingual and ESL Classroom,0,"Classroom management, student record keeping, assisted and independent teaching in an urban public school, guided by a mentor teacher and site-based university instructor."
EED 4304,Student Teaching in the Early Childhood Classroom,0,"Classroom management, student record keeping, assisted and independent teaching in an urban public school, guided by a mentor teacher and site-based university instructor."
EED 4302,Student Teaching in the Middle-School Classroom,0,"Classroom management, student record keeping, assisted and independent teaching in an urban school, guided by a mentor teacher and site-based university instructor."
EM 4301,Energy Law,1,"Study of law as it relates to the energy industry. Emphasis on legal concepts relating to mineral interests and contracts commonly used in the industry, title, leasing, joint operations, farmouts, drilling contracts, marketing contracts, bid agreements, international agreements and their economic consequences, regulatory and environmental issues."
EED 4301,Student Teaching in the Elementary Classroom,0,"Classroom management, student record keeping, assisted and independent teaching in an urban public school, guided by a mentor teacher and site-based university instructor."
EED 3325,Effective Teaching Strategies in Science Education 4-8,2,"A field-based course that emphasizes inquiry-based, student-centered science learning experiences for young children and adolescents. This course employs research-based approaches that support effective teaching in science content and pedagogy resulting in high science achievement for learners."
EED 3321,Teaching Social Studies in the Middle School (4-8) Classroom,2,
EED 3322,Effective Teaching Strategies in Mathematics Education 4-8,2,"A field-based course that emphasizes how children learn and develop mathematical concepts, skills, and procedures. The course will employ strategies to plan, organize, and implement instruction and curriculum goals aligned to local, state, and national standards."
EED 3313,Effective Teaching Strategies in Science Education,1,"A field-based course that emphasizes inquiry-based, student-centered science learning experiences for young children and adolescents. This course employs research-based approaches that support effective teaching in science content and pedagogy resulting in high science achievement for learners."
EED 3318,Unifying Concepts and Processes in Science Education,1,A field-based course that emphasizes an integrated approach using unifying science concepts and processes across the science disciplines. The processes and concepts are taught using inquiry-based science learning experiences.
EED 3315,Effective Teaching Strategies in Science Education EC-6,1,"A field-based course that emphasizes inquiry-based, student-centered science learning experiences for young children and adolescents. This course employs research-based approaches that support effective teaching in science content and pedagogy resulting in high science achievement for learners."
EED 3317,Unifying Mathematics Concepts and Processes in Urban Education,1,"A field-based course utilizing research-based mathematical processes to reason, solve, communicate, and make mathematical connections within and outside of mathematics. The course employs strategies to enhance student achievement in the urban classroom."
ENGR 2308,Statics,3,"Concepts of forces, moments, vectors, couples, friction, first and second moments of area, equilibrium of two-and three-dimensional force systems and their application to analysis of frames and trusses."
ENGR 2306,Surveying,3,"Introduction to the element required in discipline of surveying, with concentration on applications for the construction process. The following topics are covered as: the background and history of the surveying and its interactions with other disciplines; measurement concepts, error consideration, accuracy, precision, methods for distance measuring; elevation measurements and leveling; measuring angles, bearings and azimuths with transits; traverses and traverse computations."
ENGR 2304,Computer-Aided Drafting and Design I,3,"An introduction to Computer Aided Drafting and Design (CADD) systems commonly used in industry. Topics include introduction to CADD systems, basic drawing and editing commands, drawing annotations, dimensioning, cross hatching, creation and use of drawing symbols, generation of engineering drawing and drawing database."
ENGR 1401,Engineering Graphics and Visualization with Lab,4,"Introduction to graphics, with emphasis on drafting techniques: use of instruments, lettering, geometric constructions, multiview projections, auxiliary views, sectional views, sketching drawings for electrical, piping and structural applications. Introduction to computer-aided drafting."
ENGR 1402,Fire and Safety Hazard Recognition with Lab,4,"Physical, chemical, electrical, and natural hazards and their relationship to loss of property and/or life. Safe location, storage, transportation and handling practices to eliminate or control the risk of fire and other hazards in the home, business and industry. Experiments and computer simulations."
ENGR 2106,Surveying Lab,1,"Application of surveying tools and Total-station and measurement of angle, length,elevation and validating coordinates. GIS (Geographic Information Systems) is a computer-based tool that uses spatial (geographic) data to analyze and solve real-world problems. This course is designed to introduce the student to the basic principles and techniques of GIS. The lab material will emphasize GIS data collection, entry, storage, analysis, and output using ArcGIS."
ENGR 2111,Mechanics of Materials Lab,1,"Laboratory tests of materials to find engineering properties under different type of forces, including stress-strain curve, yielding and rupture strength, and deformation. Introduces experimental techniques and instrumentation common to structural engineering, comparison of experimental and analytical predictions, and engineering report writing."
ENGR 1400,PC Applications in Engineering,4,"Application of PC hardware and software to engineering problems. Data acquisition and computational methods for control systems, structures, and piping systems. Intensive use of the NSF sponsored laboratory for data acquisition, transmission and analysis of data. Modern computational approach to solids-fluids mechanics, and heat transfer."
ENGR 1333,Programming for Engineers,3,"Students will develop computer programs to solve engineering problems using spreadsheet functions and object-oriented software. Students will work with organized data, tables, matrices, graphics, and animation. The course includes the development of projects that consist of analyzing engineering problems, translating them into code, and developing computer applications for their solution."
